Datei,Herkunft,Datierung,Übersetzung,Epoche
Quellenstellen zur Kultpraxis_P. Tebt. Tait 12,Tebtynis,101-200 n. Chr,,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_P. Tebt. Tait 11,Tebtynis,101-200 n. Chr,mit den Worten Unser großer Herr unser großer Herr - Ptah,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_P. Tebt. Tait 10,Tebtynis,101-200 n. Chr,die Brandopfer Er gab ein ein Rind in Stücken dh zerlegt ein Vogel in Stücken dh zerlegt Er gab Honig in ein die Mengen von Perseafrüchten die Mengen von Obst Er gab Bier in die Mitte von Er sprach Ihr vom Haus erhebt euch Laßt uns die Brandopfer vollziehen Die des Hauses erhoben sich Sie ergriffen die Pl tragen,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_P. Saqqara dem. 1, 9",Saqqara,Hellenistische Zeit,sein Herz - ist geschehen mit den Göttern,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_P. Saqqara dem. 1, 8",Saqqara,Hellenistische Zeit,Dein Lebensodem sei heil Er fand keinen Ort auf Erden an dem er war,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_P. Saqqara dem. 1, 7",Saqqara,Hellenistische Zeit,Seth,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_P. Saqqara dem. 1, 6",Saqqara,Hellenistische Zeit,erscheinen O bAmun derb läßt auf ewig der Retter vor den Fiebern des Amun in deinem Haus bzw deines Hauses O Amun mögest du veranlassen O Seth Zerstörer zerstöre nicht O Barke des Seth O ein Augenblick meines Lebens indem du nicht zurückkehren wirst bis O mein Leben indem es,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_P. Saqqara dem. 1, 5",Saqqara,Hellenistische Zeit,ging an mir vorüber auf der Insel des Osiris-Apis indem er Er ging nicht zu Bastet b b,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Inaros P. Tebt. Tait 1-4,Tebtynis,101-200 n. Chr,die Belohnung unserer Götter die schöner ist als all dies Danach geschah ein großer Zauberakt über der Halle ihre eorum Kraft gegen mich gereinigt durch Besprengen im Tempel Du hast keinen bösen Blick mein Ich sah mich im Traum die unter dem Himmel sind um zu töten bzw werden töten das Verderben des Königs Horus gehen der Phönix oberhalb von der Barke des Amun,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Inaros P. Tebt. Tait 1-4,Tebtynis,101-200 n. Chr,die Belohnung unserer Götter die schöner ist als all dies Danach geschah ein großer Zauberakt über der Halle ihre eorum Kraft gegen mich gereinigt durch Besprengen im Tempel Du hast keinen bösen Blick mein Ich sah mich im Traum die unter dem Himmel sind um zu töten bzw werden töten das Verderben des Königs Horus gehen der Phönix oberhalb von der Barke des Amun,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Inaros P. Tebt. Tait 1-4,Tebtynis,101-200 n. Chr,die Belohnung unserer Götter die schöner ist als all dies Danach geschah ein großer Zauberakt über der Halle ihre eorum Kraft gegen mich gereinigt durch Besprengen im Tempel Du hast keinen bösen Blick mein Ich sah mich im Traum die unter dem Himmel sind um zu töten bzw werden töten das Verderben des Königs Horus gehen der Phönix oberhalb von der Barke des Amun,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Inaros P. Tebt. Tait 1-4,Tebtynis,101-200 n. Chr,die Belohnung unserer Götter die schöner ist als all dies Danach geschah ein großer Zauberakt über der Halle ihre eorum Kraft gegen mich gereinigt durch Besprengen im Tempel Du hast keinen bösen Blick mein Ich sah mich im Traum die unter dem Himmel sind um zu töten bzw werden töten das Verderben des Königs Horus gehen der Phönix oberhalb von der Barke des Amun,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_P. Tebt. Tait 15,Tebtynis,101-200 n. Chr,indem er Kleidung bezaubert,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_P. Tebt. Tait 6,Tebtynis,101-200 n. Chr,indem er in den Ruheplätzen inhaftiert ist der im Westen ist Spezereien und Opfergaben,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Lehre des P. Oxy. 79-103,Tebtynis,101-200 n. Chr,Verweile nicht in einem Haus mit einem Frevler Die böse Angelegenheit die ihn erreicht wegen der Schwalbe die für Isis die große Göttin steht das Haus des Frevlers zündet das Nest der Feinde an mit Feuer Wenn der große Gott gegen ein Haus zürnt wird alles was in ihm ist verbrennen Gewürm entsteht bzw wird entstehen in ihm Wenn sich der Himmel öffnet der Glanz Wenn die Schriften des Ptah eine Stadt erreichen werden ihre die Unheilsdämonin schaut auf Mögen dir Schriften vorgelesen werden das Ferkel aus Fayence die Unheilsdämonin schaut auf Tu Gutes dem der es dir vergelten wird Tue Gutes deinen Leuten und deinen Brüdern zu deiner Zeit des Mundabwischens,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Inaros, Schreibtafel Cambridge",unbestimmt,Hellenistische Zeit,denen von Heliopolis in der Nacht Fest Gibt es einen Gott wie Re Gibt es eine Göttin oä wie Nebethetepet Gibt es einen Kalasirier dh einen Recken wie meinen Vater Osiris König Inaros Es gibt ein Syrien vonfür Heliopolis und Natho,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Hareus Sohn des Pahat,Tebtynis Temple Library,105-150 v. Chr.,It happened one day that Hareus son of Pahat was strolling in the dromos of Atum the daughter of the Prophet of Atum as her head came out of the windows of her house He ie the son said Leave me alone the daughter of the prophet of Atum I love her very much If I were not to sleep with her I would die lit suffer my death It happened one day while he was on the shore of this lake purifying himself together with the children of Hareus-of-the children the partial matters which the children of Hareus-of-the-children had said to him in the temple of Heliopolis this very day letztes Wort schon Kol Z He related to her everything that had happened to him with the children of Hareus-of the-children in the temple of Heliopolis casting a spell fellow priest the priests to the house of rest ie tomb priest the great god happened,Griechisch-römische Zeit
