,term,score
0,the,438.52511976502586
1,pharao,413.20674178380034
2,setne,298.00294499087164
3,of,279.369284792391
4,amun,170.0612780810879
5,isis,144.80424791809958
6,to,135.45177444479563
7,bzw,132.06548008367574
8,pami,111.22645129940983
9,naneferkaptah,111.22645129940983
10,inaros,111.22645129940983
11,osiris,110.05456673639645
12,priester,105.40988310811233
13,ostens,94.43755299006494
14,anchhor,88.14171612406062
15,folgendermaãÿen,86.35050620855722
16,siosire,81.84587925805629
17,pharaos,81.51697627027353
18,imen,79.74726696938818
19,niut,79.74726696938818
20,pekrur,79.74726696938818
21,ur,79.74726696938818
22,pl,79.57791748631743
23,heer,73.08418562162454
24,alles,70.27325540540822
25,sehr,70.27325540540822
26,and,69.41903440295776
27,barke,69.41903440295776
28,theben,68.86779029730006
29,bord,67.72588722239782
30,buch,67.72588722239782
31,him,62.64644568071798
32,peteese,62.64644568071798
33,di,60.953298500158034
34,schicksal,59.029534540542905
35,alle,59.029534540542905
36,unverzã¼glich,58.76114408270708
37,panzer,58.76114408270708
38,worte,57.62406943243474
39,junge,55.8738569584782
40,heliopolis,53.40767410811025
41,prophet,52.487562597358306
42,hinauf,52.487562597358306
43,truhe,52.46530721670275
44,geben,52.00220900000208
45,brief,50.596743891893915
46,his,49.10126823623842
47,my,48.26808263936653
48,dinge,47.78581367567759
49,great,47.40812105567847
50,koptos,45.714973875118524
51,they,45.714973875118524
52,gold,44.97488345946126
53,tage,44.97488345946126
54,it,44.021826694558584
55,said,44.021826694558584
56,propheten,42.32867951399864
57,is,42.32867951399864
58,hirten,42.16395324324493
59,rezitierte,41.972245773362204
60,kampf,41.972245773362204
61,halle,41.972245773362204
62,memphis,40.758488135136766
63,mendes,40.63553233343869
64,that,38.94238515287874
65,dã,38.94238515287874
66,let,38.94238515287874
67,stunde,37.94755791892044
68,jungen,37.94755791892044
69,mlichen,37.77502119602598
70,she,37.77502119602598
71,erschuf,37.77502119602598
72,gaue,37.77502119602598
73,petechons,37.77502119602598
74,zufall,37.77502119602598
75,with,37.249237972318795
76,gen,36.54209281081227
77,bes,35.67640890735787
78,zã¼rnt,35.67640890735787
79,tabubu,35.67640890735787
80,nigssohn,35.556090791758855
81,befohlen,35.556090791758855
82,which,35.556090791758855
83,chons,33.86294361119891
84,sprachen,33.86294361119891
85,diener,33.73116259459594
86,qore,33.57779661868976
87,streit,33.57779661868976
88,weisen,32.32569748648778
89,thot,32.32569748648778
90,unterwelt,32.32569748648778
91,meiner,32.32569748648778
92,pferd,31.47918433002165
93,demot,31.47918433002165
94,hierher,31.47918433002165
95,brã¼der,31.47918433002165
96,auãÿer,30.920232378379616
97,general,30.920232378379616
98,ehe,30.920232378379616
99,bachtan,30.476649250079017
100,pharaoh,30.476649250079017
101,be,30.476649250079017
102,veranlaãÿte,29.514767270271452
103,erblickte,29.514767270271452
104,geh,29.514767270271452
105,hlte,29.514767270271452
106,fã¼rst,29.514767270271452
107,mpfen,29.514767270271452
108,gottlosen,29.38057204135354
109,oberhalb,29.38057204135354
110,familie,29.38057204135354
111,son,29.38057204135354
112,letopolis,29.38057204135354
113,trankopfer,29.38057204135354
114,nubierland,29.38057204135354
115,sachmenofre,29.38057204135354
116,you,28.783502069519074
117,before,28.783502069519074
118,per,28.10930216216329
119,atum,28.10930216216329
120,ausrã¼stung,27.28195975268543
121,jã¼ngere,27.28195975268543
122,mliche,27.28195975268543
123,geschichte,27.28195975268543
124,hareus,27.28195975268543
125,ie,27.28195975268543
126,segen,27.28195975268543
127,verderben,27.28195975268543
128,nubier,27.28195975268543
129,on,27.090354888959126
130,sohnes,27.090354888959126
131,meer,27.090354888959126
132,sã¼den,26.703837054055125
133,frauen,26.703837054055125
134,zauber,25.39720770839918
135,pe,25.39720770839918
136,hor,25.39720770839918
137,briefschreiber,25.39720770839918
138,neith,25.39720770839918
139,while,25.39720770839918
140,this,25.298371945946958
141,sobald,25.298371945946958
142,namen,25.298371945946958
143,sopdu,25.18334746401732
144,byssos,25.18334746401732
145,lesen,25.18334746401732
146,ahure,25.18334746401732
147,pfrã¼nde,25.18334746401732
148,verhã,23.892906837838794
149,unglã¼ck,23.892906837838794
150,sowie,23.892906837838794
151,darã¼ber,23.892906837838794
152,begrã,23.892906837838794
153,stieg,23.892906837838794
154,schrei,23.704060527839236
155,had,23.704060527839236
156,god,23.704060527839236
157,me,23.704060527839236
158,made,23.704060527839236
159,brachten,23.704060527839236
160,tanis,23.704060527839236
161,priestern,23.704060527839236
162,eilte,23.08473517534921
163,krankheit,23.08473517534921
164,urdiimenniut,23.08473517534921
165,mancher,23.08473517534921
166,schwalbe,23.08473517534921
167,lebensodem,23.08473517534921
168,petubastis,23.08473517534921
169,chern,23.08473517534921
170,kamen,22.48744172973063
171,geschrieben,22.48744172973063
172,heraus,22.48744172973063
173,stier,22.48744172973063
174,sagten,22.48744172973063
175,chsten,22.48744172973063
176,toren,22.010913347279292
177,mitten,22.010913347279292
178,happened,22.010913347279292
179,fã¼rsorger,22.010913347279292
180,charakter,22.010913347279292
181,temple,22.010913347279292
182,machten,22.010913347279292
183,dte,22.010913347279292
184,wen,22.010913347279292
185,befand,21.081976621622466
186,bnis,21.081976621622466
187,gau,21.081976621622466
188,begab,21.081976621622466
189,sende,20.986122886681102
190,servant,20.986122886681102
191,vorbereitung,20.986122886681102
192,zahlreicher,20.986122886681102
193,went,20.986122886681102
194,missetaten,20.986122886681102
195,djedher,20.986122886681102
196,tasis,20.986122886681102
197,konnte,20.986122886681102
198,gave,20.986122886681102
199,came,20.986122886681102
200,gottlose,20.986122886681102
201,rker,20.986122886681102
202,their,20.317766166719345
203,lord,20.317766166719345
204,from,20.317766166719345
205,bastet,20.317766166719345
206,vornehmen,20.317766166719345
207,vier,20.317766166719345
208,ffnen,20.317766166719345
209,befahl,20.317766166719345
210,leib,19.676511513514303
211,betrã¼bt,19.676511513514303
212,stand,19.676511513514303
213,worten,19.676511513514303
214,geist,19.676511513514303
215,abydos,19.676511513514303
216,rief,19.676511513514303
217,ten,19.676511513514303
218,mitte,19.676511513514303
219,brought,18.88751059801299
220,after,18.88751059801299
221,panesche,18.88751059801299
222,sic,18.88751059801299
223,entgegen,18.88751059801299
224,dream,18.88751059801299
225,meribptah,18.88751059801299
226,lamm,18.88751059801299
227,geschick,18.88751059801299
228,very,18.88751059801299
229,katze,18.88751059801299
230,schande,18.624618986159398
231,fragen,18.624618986159398
232,besser,18.624618986159398
233,vierzig,18.624618986159398
234,egypt,18.624618986159398
235,cher,18.624618986159398
236,rhops,18.624618986159398
237,lesonis,18.624618986159398
238,erhob,18.624618986159398
239,antlitz,18.624618986159398
240,allem,18.271046405406135
241,mon,18.271046405406135
242,ufer,18.271046405406135
243,komm,18.271046405406135
244,glich,18.271046405406135
245,fluãÿ,18.271046405406135
246,unser,18.271046405406135
247,sagst,18.271046405406135
248,diesen,18.271046405406135
249,leuten,18.271046405406135
250,reichtum,16.931471805599454
251,one,16.931471805599454
252,these,16.931471805599454
253,verhindern,16.931471805599454
254,place,16.931471805599454
255,lieãÿen,16.931471805599454
256,willst,16.931471805599454
257,lauten,16.931471805599454
258,berg,16.931471805599454
259,wenige,16.931471805599454
260,things,16.931471805599454
261,widerfahren,16.86558129729797
262,brandopfer,16.86558129729797
263,weise,16.86558129729797
264,bringe,16.86558129729797
265,sofort,16.86558129729797
266,abscheu,16.86558129729797
267,wo,16.86558129729797
268,gelangte,16.86558129729797
269,krieger,16.78889830934488
270,wollen,16.78889830934488
271,haryothes,16.78889830934488
272,zeile,16.78889830934488
273,naneferkasokar,16.78889830934488
274,wandte,16.78889830934488
