,term,score
0,anrã¼chig,16.78889830934488
1,landmann,13.545177444479563
2,ba,12.649185972973479
3,deinetwegen,12.649185972973479
4,bevor,11.243720864865315
5,insel,9.838255756757151
6,jenseits,8.465735902799727
7,oberdomã,8.465735902799727
8,indemweil,8.432790648648986
9,handelt,7.027325540540822
10,gestank,7.027325540540822
11,anlegestelle,7.027325540540822
12,normalerweise,6.772588722239782
13,nenvorsteher,6.772588722239782
14,norm,6.772588722239782
15,neidisch,6.29583686600433
16,steuerruder,5.6218604324326575
17,daraufhin,5.6218604324326575
18,tritt,5.6218604324326575
19,vertreiben,5.6218604324326575
20,handwaage,5.6218604324326575
21,milde,5.6218604324326575
22,jenes,5.079441541679836
23,anfã¼hrer,5.079441541679836
24,machst,5.079441541679836
25,schief,5.079441541679836
26,lit,5.079441541679836
27,jener,5.079441541679836
28,regel,5.079441541679836
29,zufluchtsstã,5.079441541679836
30,danken,5.079441541679836
31,wasserflut,5.079441541679836
32,pries,4.216395324324493
33,myrrhe,4.216395324324493
34,sprechen,4.216395324324493
35,ftigt,4.216395324324493
36,hofstaat,4.216395324324493
37,wem,4.216395324324493
38,sitzen,4.216395324324493
39,ssigen,4.216395324324493
40,berichten,4.216395324324493
41,nger,4.216395324324493
42,ã¼berall,4.216395324324493
43,vorher,4.216395324324493
44,vollkommene,4.216395324324493
45,salbã,4.216395324324493
46,bewã,4.216395324324493
47,ellen,4.216395324324493
48,anhã,4.216395324324493
49,angenehm,4.216395324324493
50,uferansã,4.19722457733622
51,ehrfurchtsvoll,4.19722457733622
52,haare,4.19722457733622
53,verbrannten,4.19722457733622
54,gesundung,4.19722457733622
55,qj,4.19722457733622
56,unwetter,4.19722457733622
57,losbrach,4.19722457733622
58,aufgeheizt,4.19722457733622
59,sumpf,4.19722457733622
60,geschwistern,4.19722457733622
61,matt,4.19722457733622
62,balsam,4.19722457733622
63,sonnenbarke,4.19722457733622
64,berã¼hrt,4.19722457733622
65,verteidigen,4.19722457733622
66,niederlassen,4.19722457733622
67,hnliches,4.19722457733622
68,hinterbliebener,4.19722457733622
69,gebeugt,4.19722457733622
70,kã¼ndigten,4.19722457733622
71,tirade,3.386294361119891
72,mittels,3.386294361119891
73,erbfã¼rst,3.386294361119891
74,gottesgeliebte,3.386294361119891
75,neigen,3.386294361119891
76,neigt,3.386294361119891
77,verwirklicht,3.386294361119891
78,nemti,3.386294361119891
79,glã,3.386294361119891
80,verbrecher,3.386294361119891
81,windstoãÿ,3.386294361119891
82,bestattung,3.386294361119891
83,korrupt,3.386294361119891
84,berauben,3.386294361119891
85,beiwegen,3.386294361119891
86,weicht,3.386294361119891
87,stã¼tzbalken,3.386294361119891
88,nntest,3.386294361119891
89,strebe,3.386294361119891
90,erteilt,3.386294361119891
91,steuerruderleine,3.386294361119891
92,beet,3.386294361119891
93,gottesvater,3.386294361119891
94,parteiisch,3.386294361119891
95,graf,3.386294361119891
96,krummen,3.386294361119891
97,verbrennen,3.386294361119891
98,lag,3.386294361119891
99,kurs,3.386294361119891
100,vergeht,3.386294361119891
101,chenti,3.386294361119891
102,landestelle,3.386294361119891
103,landmannes,3.386294361119891
104,langwierig,3.386294361119891
105,unglã¼ckstag,3.386294361119891
106,ratsversammlung,3.386294361119891
107,uferdamm,3.386294361119891
108,verwirklichen,3.386294361119891
109,versetzt,3.386294361119891
110,duft,3.386294361119891
111,ucherwerk,3.386294361119891
112,krokodilgottes,3.386294361119891
113,krokodilen,3.386294361119891
114,hã¼ter,3.386294361119891
115,kranken,3.386294361119891
116,hals,3.386294361119891
117,habgierig,3.386294361119891
118,verwandelt,3.386294361119891
119,stern,3.386294361119891
120,cher,3.386294361119891
121,siebten,3.386294361119891
122,meinetwegen,3.386294361119891
123,flutwelle,3.386294361119891
124,geheimnisses,3.386294361119891
125,stehlen,3.386294361119891
126,stadtvorsteher,3.386294361119891
127,seht,3.386294361119891
128,ãœberschwemmungsgott,3.386294361119891
129,schwankungenabweichungen,3.386294361119891
130,fã¼rchte,3.386294361119891
131,senklotschnur,3.386294361119891
132,schweigens,3.386294361119891
133,palastes,2.8109302162163288
134,hinausgehen,2.8109302162163288
135,ãÿter,2.8109302162163288
136,auszug,2.8109302162163288
137,abweicht,2.8109302162163288
138,ihretwegen,2.8109302162163288
139,bgroãÿenb,2.8109302162163288
140,sprich,2.8109302162163288
141,indemund,2.8109302162163288
142,gibst,2.8109302162163288
143,traumzustand,2.8109302162163288
144,ãœbel,2.8109302162163288
145,freilich,2.8109302162163288
146,voraus,2.8109302162163288
147,gewandelt,2.8109302162163288
148,ehe,2.8109302162163288
149,opfern,2.8109302162163288
150,handeln,2.8109302162163288
151,adligen,2.8109302162163288
152,sehotep,2.8109302162163288
153,rst,2.8109302162163288
154,eingegangen,2.8109302162163288
155,bogenvã,2.8109302162163288
156,einschlieãÿlich,2.8109302162163288
157,grambeugung,2.8109302162163288
158,ausgang,2.8109302162163288
159,pest,2.8109302162163288
160,hirten,2.8109302162163288
161,einzigartig,2.8109302162163288
162,einzigartiger,2.8109302162163288
163,verschmolzen,2.8109302162163288
164,kummer,2.8109302162163288
165,verschwunden,2.8109302162163288
166,brandopfer,2.8109302162163288
167,sonnenlicht,2.8109302162163288
168,vortrefflichen,2.8109302162163288
169,vergangen,2.8109302162163288
170,segel,2.8109302162163288
171,ssern,2.8109302162163288
172,gottesleib,2.8109302162163288
173,trauerhaltung,2.8109302162163288
174,angetreten,2.8109302162163288
175,heimkehr,2.8109302162163288
176,chte,2.8109302162163288
177,verfaãÿt,2.8109302162163288
178,ruf,2.8109302162163288
179,richt,2.8109302162163288
180,sehetep,2.8109302162163288
181,aufgestiegen,2.8109302162163288
182,herischef,2.8109302162163288
183,geschaffen,2.8109302162163288
184,erstanden,2.8109302162163288
185,aufgabe,2.8109302162163288
186,oberbefehlshaber,2.8109302162163288
187,jubelnd,2.8109302162163288
188,warum,2.8109302162163288
189,deltabewohner,2.8109302162163288
190,reichen,2.8109302162163288
191,deltasã¼mpfe,2.8109302162163288
192,monthu,2.8109302162163288
193,ufer,2.8109302162163288
194,maãÿ,2.8109302162163288
195,gerechtfertigte,2.8109302162163288
196,stirbt,2.8109302162163288
197,drã,2.8109302162163288
198,niemals,2.8109302162163288
199,eulogie,2.8109302162163288
200,atemluft,2.8109302162163288
201,herauskommen,2.8109302162163288
202,begeht,2.8109302162163288
203,frã¼her,2.8109302162163288
204,doppeltor,2.8109302162163288
205,begehen,2.8109302162163288
206,nkt,2.8109302162163288
207,ngst,2.8109302162163288
208,vermehrer,2.8109302162163288
209,knie,2.8109302162163288
210,sowie,2.8109302162163288
211,frevler,2.8109302162163288
212,sesostris,2.8109302162163288
213,ptahhotep,2.8109302162163288
214,erobert,2.8109302162163288
215,jenem,2.8109302162163288
216,berã¼hren,2.8109302162163288
217,standwaage,2.8109302162163288
218,ladung,2.09861228866811
219,herrichtet,2.09861228866811
220,randgebiete,2.09861228866811
221,kunstfertige,2.09861228866811
222,unterhalb,2.09861228866811
223,fischfangtag,2.09861228866811
224,aufstand,2.09861228866811
225,dickicht,2.09861228866811
226,spendete,2.09861228866811
227,herangewachsen,2.09861228866811
228,ltst,2.09861228866811
229,aufgerichtet,2.09861228866811
230,verletzung,2.09861228866811
231,asche,2.09861228866811
232,hnten,2.09861228866811
233,lotosblumen,2.09861228866811
234,heiratsfã,2.09861228866811
235,verleumden,2.09861228866811
236,augenschminke,2.09861228866811
237,soweit,2.09861228866811
238,unterschieden,2.09861228866811
239,desolaten,2.09861228866811
240,fischern,2.09861228866811
241,higkeiten,2.09861228866811
242,schwierige,2.09861228866811
243,kã¼mmern,2.09861228866811
244,hinabgestiegen,2.09861228866811
245,kã¼he,2.09861228866811
246,schwer,2.09861228866811
247,gefischt,2.09861228866811
248,aufmerksamkeit,2.09861228866811
249,higegeschlechtsreife,2.09861228866811
250,kurzschwanz,2.09861228866811
251,schweigers,2.09861228866811
252,pyramiden,2.09861228866811
253,dahingeschiedenen,2.09861228866811
254,veranlã,2.09861228866811
255,aufklã,2.09861228866811
256,nachgeahmt,2.09861228866811
257,herbeizufã¼hren,2.09861228866811
258,herbeikam,2.09861228866811
259,nderzã,2.09861228866811
260,wã¼tet,2.09861228866811
261,chonsu,2.09861228866811
262,ladanum,2.09861228866811
263,ã¼berschwemmbaren,2.09861228866811
264,ausdrã¼cken,2.09861228866811
265,auserwã,2.09861228866811
266,wasserzaubergesang,2.09861228866811
267,klammern,2.09861228866811
268,wasservã,2.09861228866811
269,wasserstelle,2.09861228866811
270,beachtet,2.09861228866811
271,wasserkanten,2.09861228866811
272,ãœberschwemmungsgottes,2.09861228866811
273,bauten,2.09861228866811
274,furchterregende,2.09861228866811
275,bauherren,2.09861228866811
276,frieren,2.09861228866811
277,jene,2.09861228866811
278,bart,2.09861228866811
279,wiedererkennst,2.09861228866811
280,wiederfand,2.09861228866811
281,isdes,2.09861228866811
282,irdischen,2.09861228866811
283,ãœberschwemmungssee,2.09861228866811
284,niederlassens,2.09861228866811
285,weckt,2.09861228866811
286,weidegrundes,2.09861228866811
287,welsen,2.09861228866811
288,kaslebensgeister,2.09861228866811
289,kartuschesnefrukartusche,2.09861228866811
290,kartuschehunikartusche,2.09861228866811
291,befã,2.09861228866811
292,weisheitslehren,2.09861228866811
293,weilte,2.09861228866811
294,abdrã,2.09861228866811
295,ãœberschwemmungswasser,2.09861228866811
296,nordsturms,2.09861228866811
297,behandelt,2.09861228866811
298,nordwindes,2.09861228866811
299,frã¼hen,2.09861228866811
300,shbw,2.09861228866811
301,wegzuholen,2.09861228866811
302,beistehen,2.09861228866811
303,irdische,2.09861228866811
304,bestehend,2.09861228866811
305,vorfand,2.09861228866811
306,ausgezeichneterwohltuender,2.09861228866811
307,gebahnter,2.09861228866811
308,verwendet,2.09861228866811
309,parfã¼m,2.09861228866811
310,biãÿ,2.09861228866811
311,verwehrt,2.09861228866811
312,blieb,2.09861228866811
313,passieren,2.09861228866811
314,ausgewã,2.09861228866811
315,korrigieren,2.09861228866811
316,brandaltar,2.09861228866811
317,verschwinden,2.09861228866811
318,krokodilverseuchten,2.09861228866811
319,verschlossenversiegelt,2.09861228866811
320,buchten,2.09861228866811
321,sommertagen,2.09861228866811
322,geduldigen,2.09861228866811
323,paradieses,2.09861228866811
324,ausschickt,2.09861228866811
325,wiegt,2.09861228866811
326,beurteilen,2.09861228866811
327,vorbereiteten,2.09861228866811
328,freilã,2.09861228866811
329,kometen,2.09861228866811
330,voraussicht,2.09861228866811
331,betrã¼ben,2.09861228866811
332,vonan,2.09861228866811
