,term,score
0,the,297.99390377855036
1,of,169.31471805599455
2,is,123.59974418087602
3,lhg,95.57162735135518
4,are,76.19162312519754
5,and,66.03274004183787
6,it,60.953298500158034
7,yet,52.487562597358306
8,schaft,48.26808263936653
9,for,47.40812105567847
10,to,44.021826694558584
11,einst,42.32867951399864
12,on,42.32867951399864
13,who,42.32867951399864
14,look,39.87363348469409
15,pharao,39.353023027028605
16,has,37.77502119602598
17,tanne,35.67640890735787
18,bata,35.67640890735787
19,ba,33.73116259459594
20,namen,33.73116259459594
21,tterneunheit,33.57779661868976
22,anhã,32.32569748648778
23,when,32.16979643063896
24,all,30.920232378379616
25,one,30.476649250079017
26,have,30.476649250079017
27,nger,26.703837054055125
28,gesamten,25.18334746401732
29,nahrung,23.892906837838794
30,meiner,23.892906837838794
31,jeden,23.892906837838794
32,meer,23.704060527839236
33,anlanden,23.08473517534921
34,their,22.010913347279292
35,euren,22.010913347279292
36,verfaãÿt,21.081976621622466
37,feinde,21.081976621622466
38,amun,21.081976621622466
39,alle,21.081976621622466
40,worten,21.081976621622466
41,amunrasonther,20.986122886681102
42,verehrt,20.986122886681102
43,meschenet,20.986122886681102
44,people,20.317766166719345
45,with,20.317766166719345
46,sehr,19.676511513514303
47,get,18.88751059801299
48,krone,18.88751059801299
49,his,18.624618986159398
50,oberã,18.624618986159398
51,ka,18.271046405406135
52,amt,16.931471805599454
53,been,16.931471805599454
54,what,16.931471805599454
55,come,16.931471805599454
56,sprechen,16.86558129729797
57,stunde,16.86558129729797
58,alles,16.86558129729797
59,leib,16.86558129729797
60,tauben,16.78889830934488
61,edelfrau,16.78889830934488
62,lebensdauer,16.78889830934488
63,nã¼tzlich,16.78889830934488
64,ratschlag,16.78889830934488
65,festlegen,16.78889830934488
66,ehrwã¼rdigenversorgten,16.78889830934488
67,erfolg,15.460116189189808
68,millionen,15.460116189189808
69,atemluft,15.460116189189808
70,neben,15.460116189189808
71,you,15.238324625039509
72,good,15.238324625039509
73,because,15.238324625039509
74,gods,15.238324625039509
75,him,15.238324625039509
76,renenutet,14.69028602067677
77,ihretwillen,14.69028602067677
78,gestein,14.69028602067677
79,remember,14.69028602067677
80,achtet,14.69028602067677
81,kronengã,14.69028602067677
82,chste,14.69028602067677
83,astarte,14.69028602067677
84,angefertigt,14.69028602067677
85,nge,14.054651081081644
86,worte,14.054651081081644
87,eure,14.054651081081644
88,tage,14.054651081081644
89,harachte,14.054651081081644
90,gestalt,14.054651081081644
91,bestimmt,14.054651081081644
92,spitze,13.545177444479563
93,begann,13.545177444479563
94,jã¼ngling,13.545177444479563
95,wen,13.545177444479563
96,as,13.545177444479563
97,te,13.545177444479563
98,pause,13.545177444479563
99,ohren,13.545177444479563
100,handeln,12.649185972973479
101,schlã,12.649185972973479
102,lebenden,12.649185972973479
103,tet,12.649185972973479
104,geben,12.649185972973479
105,herum,12.649185972973479
106,ã¼beraus,12.649185972973479
107,nasen,12.59167373200866
108,eurer,12.59167373200866
109,indeed,12.59167373200866
110,verordnet,12.59167373200866
111,pyramidenbezirk,12.59167373200866
112,sprã¼che,12.59167373200866
113,richterkollegium,12.59167373200866
114,beruhigt,12.59167373200866
115,dauert,12.59167373200866
116,beseitige,12.59167373200866
117,generation,11.852030263919618
118,those,11.852030263919618
119,children,11.852030263919618
120,offering,11.852030263919618
121,jenseits,11.852030263919618
122,innern,11.852030263919618
123,but,11.852030263919618
124,einziger,11.852030263919618
125,zorn,11.852030263919618
126,fte,11.852030263919618
127,lass,11.852030263919618
128,erziehungslehre,11.852030263919618
129,ground,11.852030263919618
130,angebrochen,11.243720864865315
131,ume,11.243720864865315
132,mpfen,11.243720864865315
133,bruders,11.243720864865315
134,ruht,11.243720864865315
135,schicksal,11.243720864865315
136,wo,11.243720864865315
137,gen,11.243720864865315
138,opfergaben,11.243720864865315
139,pharaos,11.243720864865315
140,stier,11.243720864865315
141,glich,11.243720864865315
142,schreibers,11.243720864865315
143,abscheu,11.243720864865315
144,erreicht,11.243720864865315
145,gold,11.243720864865315
146,krã,11.243720864865315
147,holte,10.493061443340551
148,gefolgsmann,10.493061443340551
149,high,10.493061443340551
150,erkenntnis,10.493061443340551
151,could,10.493061443340551
152,vollkommenes,10.493061443340551
153,rekartusche,10.493061443340551
154,vorfahren,10.493061443340551
155,strahlen,10.493061443340551
156,owners,10.493061443340551
157,anweisungen,10.493061443340551
158,cattle,10.493061443340551
159,dagegen,10.493061443340551
160,enthã,10.493061443340551
161,secrets,10.493061443340551
162,thereof,10.493061443340551
163,wassers,10.493061443340551
164,gleiches,10.493061443340551
165,besitzlose,10.493061443340551
166,befolgen,10.493061443340551
167,perseabã,10.493061443340551
168,seschat,10.493061443340551
169,vollkommenem,10.493061443340551
170,hinterlistigen,10.493061443340551
171,ausgezeichnet,10.493061443340551
172,says,10.493061443340551
173,nachdemseit,10.493061443340551
174,lebensweges,10.493061443340551
175,benutzung,10.493061443340551
176,ndigen,10.493061443340551
177,verbreitet,10.493061443340551
178,denkmal,10.493061443340551
179,kennengelernt,10.493061443340551
180,uã,10.493061443340551
181,gerechte,10.493061443340551
182,beliebtheit,10.493061443340551
183,leiber,10.493061443340551
184,untertã,10.493061443340551
185,higen,10.493061443340551
186,methode,10.493061443340551
187,geese,10.493061443340551
188,sandalen,10.493061443340551
189,by,10.158883083359672
190,welle,10.158883083359672
191,wasserspende,10.158883083359672
192,alte,10.158883083359672
193,errichtet,10.158883083359672
194,hã¼gel,10.158883083359672
195,gefolge,10.158883083359672
196,finger,10.158883083359672
197,would,10.158883083359672
198,persã,10.158883083359672
199,offen,10.158883083359672
200,lobe,10.158883083359672
201,like,10.158883083359672
202,derden,10.158883083359672
203,bastet,10.158883083359672
204,statuen,10.158883083359672
205,rein,10.158883083359672
206,against,10.158883083359672
207,verwandelt,10.158883083359672
208,wacht,10.158883083359672
209,hig,10.158883083359672
210,gleiche,10.158883083359672
211,baue,10.158883083359672
212,klugheit,10.158883083359672
213,anubis,10.158883083359672
214,asiaten,10.158883083359672
215,from,10.158883083359672
216,sc,10.158883083359672
217,umen,10.158883083359672
218,weiãÿt,9.838255756757151
219,getã,9.838255756757151
220,nner,9.838255756757151
221,verhã,9.838255756757151
222,gewã,9.838255756757151
223,geringe,9.838255756757151
224,teil,9.838255756757151
225,abydos,9.838255756757151
226,verbracht,9.838255756757151
227,ufer,9.838255756757151
228,ãœberschwemmung,9.838255756757151
229,geist,9.838255756757151
230,herischef,9.838255756757151
231,gar,9.838255756757151
232,seth,9.838255756757151
233,gau,9.838255756757151
234,priester,9.838255756757151
235,sonnenscheibe,9.838255756757151
236,eigenen,9.838255756757151
237,setzte,9.838255756757151
238,ewig,9.838255756757151
239,strophenende,8.465735902799727
240,vielen,8.465735902799727
241,were,8.465735902799727
242,funktionsfã,8.465735902799727
243,verehren,8.465735902799727
244,empfã,8.465735902799727
245,barke,8.465735902799727
246,water,8.465735902799727
247,enthã¼llen,8.465735902799727
248,wieviel,8.465735902799727
249,do,8.465735902799727
250,solltest,8.465735902799727
