,term,score
0,pharao,150.3847665675736
1,teudjoi,123.81812503141849
2,peteese,111.7477139169564
3,merire,111.22645129940983
4,lhg,106.8153482162205
5,priester,74.48965072973272
6,amun,74.48965072973272
7,senti,60.85975637137519
8,irturu,50.36669492803464
9,general,46.38034856756943
10,theben,40.758488135136766
11,horudja,37.77502119602598
12,chons,37.249237972318795
13,schiffsmeister,33.57779661868976
14,lebendigen,33.57779661868976
15,bachtan,30.476649250079017
16,ahmose,30.476649250079017
17,oben,29.514767270271452
18,sematauitefnacht,29.38057204135354
19,veranlaãÿte,28.10930216216329
20,peftjauawibastet,27.28195975268543
21,magier,27.090354888959126
22,sehr,26.703837054055125
23,alle,25.298371945946958
24,irthorru,25.18334746401732
25,geben,23.892906837838794
26,lebendige,23.08473517534921
27,sã¼dland,22.010913347279292
28,fã¼rsorger,22.010913347279292
29,pharaos,21.081976621622466
30,tterkã,20.986122886681102
31,propheten,20.317766166719345
32,hathor,19.676511513514303
33,herakleopolis,18.624618986159398
34,hoher,18.271046405406135
35,lesonis,16.931471805599454
36,papyrus,16.931471805599454
37,gelangte,16.86558129729797
38,abscheu,16.86558129729797
39,stand,15.460116189189808
40,unterstellt,15.238324625039509
41,erdmann,14.69028602067677
42,inspizierte,14.69028602067677
43,padihapi,14.69028602067677
44,alles,14.054651081081644
45,pre,14.054651081081644
46,holen,14.054651081081644
47,tage,14.054651081081644
48,persã,13.545177444479563
49,diesen,12.649185972973479
50,ten,12.649185972973479
51,heliopolis,12.649185972973479
52,namen,12.649185972973479
53,fã¼rst,12.649185972973479
54,djedbastetiufanch,12.59167373200866
55,schreibe,12.59167373200866
56,machtserscheinung,12.59167373200866
57,anchscheschonk,12.59167373200866
58,hetep,12.59167373200866
59,nenne,11.852030263919618
60,priestern,11.852030263919618
61,dã,11.852030263919618
62,sagten,11.243720864865315
63,unser,11.243720864865315
64,sã¼den,11.243720864865315
65,mon,11.243720864865315
66,sterben,11.243720864865315
67,zusammentreffen,10.493061443340551
68,viehhã¼ten,10.493061443340551
69,sã¼dlandes,10.493061443340551
70,neitemhet,10.493061443340551
71,papyrusblatt,10.493061443340551
72,qualitã,10.493061443340551
73,erihn,10.158883083359672
74,fã¼nf,10.158883083359672
75,erhob,10.158883083359672
76,worte,9.838255756757151
77,rufen,9.838255756757151
78,auge,9.838255756757151
79,schau,9.838255756757151
80,jahreszeit,9.838255756757151
81,neunheit,9.838255756757151
82,gewã,9.838255756757151
83,glich,9.838255756757151
84,pavian,8.465735902799727
85,ruiniert,8.465735902799727
86,stromab,8.465735902799727
87,machten,8.465735902799727
88,prophet,8.465735902799727
89,rein,8.465735902799727
90,nlichen,8.465735902799727
91,akzeptiert,8.465735902799727
92,osiris,8.465735902799727
93,neferhotep,8.432790648648986
94,anderer,8.432790648648986
95,schicksal,8.432790648648986
96,gegenwart,8.432790648648986
97,unterwelt,8.432790648648986
98,worten,8.432790648648986
99,gen,8.432790648648986
100,auãÿer,8.432790648648986
101,thot,8.432790648648986
102,erneut,8.432790648648986
103,eigenen,8.432790648648986
104,fort,8.432790648648986
105,geh,8.432790648648986
106,entlassen,8.39444915467244
107,lehm,8.39444915467244
108,verfã,8.39444915467244
109,betrag,8.39444915467244
110,meãÿgefã,8.39444915467244
111,opferstiftung,8.39444915467244
112,blumenstrauãÿ,8.39444915467244
113,zahlen,8.39444915467244
114,wunderbarer,8.39444915467244
115,abrechnung,8.39444915467244
116,meiner,7.027325540540822
117,jede,7.027325540540822
118,sieben,7.027325540540822
119,nieder,7.027325540540822
120,sagst,7.027325540540822
121,chter,7.027325540540822
122,widerfahren,7.027325540540822
123,lebens,7.027325540540822
124,wahr,7.027325540540822
125,dinge,7.027325540540822
126,heraus,7.027325540540822
127,weinte,7.027325540540822
128,brief,7.027325540540822
129,thron,7.027325540540822
130,sag,7.027325540540822
131,alten,7.027325540540822
132,diener,7.027325540540822
133,harachte,7.027325540540822
134,kamen,7.027325540540822
135,silber,7.027325540540822
136,derjenige,7.027325540540822
137,antlitz,6.772588722239782
138,heutigen,6.772588722239782
139,anvertraut,6.772588722239782
140,brand,6.772588722239782
141,einkã¼nfte,6.772588722239782
142,gelangen,6.772588722239782
143,solltest,6.772588722239782
144,psammetich,6.772588722239782
145,schrein,6.772588722239782
146,derden,6.772588722239782
147,speisen,6.772588722239782
148,ter,6.772588722239782
149,getreide,6.772588722239782
150,bildest,6.772588722239782
151,oh,6.772588722239782
152,geld,6.772588722239782
153,welt,6.772588722239782
154,bauen,6.772588722239782
155,nã¼tzlicher,6.772588722239782
156,statuen,6.772588722239782
157,entlieãÿ,6.772588722239782
158,harsaphes,6.772588722239782
159,zermã¼rbten,6.29583686600433
160,sterbe,6.29583686600433
161,oxyrhynchos,6.29583686600433
162,verwalten,6.29583686600433
163,weiterhin,6.29583686600433
164,chr,6.29583686600433
