,term,score
0,daraufhin,23.892906837838794
1,ubainer,23.08473517534921
2,landmann,13.545177444479563
3,kartuschenebkakartusche,12.59167373200866
4,oberdomã,8.465735902799727
5,indemweil,8.432790648648986
6,gerechtfertigt,8.432790648648986
7,einfache,8.39444915467244
8,vorlesepriester,7.027325540540822
9,norm,6.772588722239782
10,nenvorsteher,6.772588722239782
11,normalerweise,6.772588722239782
12,wachs,6.772588722239782
13,einfachen,6.29583686600433
14,hausmeister,6.29583686600433
15,handelt,5.6218604324326575
16,steuerruder,5.6218604324326575
17,handwaage,5.6218604324326575
18,anlegestelle,5.6218604324326575
19,milde,5.6218604324326575
20,anfã¼hrer,5.079441541679836
21,schief,5.079441541679836
22,zufluchtsstã,5.079441541679836
23,regel,5.079441541679836
24,bewã,4.216395324324493
25,ftigt,4.216395324324493
26,oberste,4.216395324324493
27,bevor,4.216395324324493
28,obersten,4.216395324324493
29,broten,4.19722457733622
30,darbringe,4.19722457733622
31,sns,4.19722457733622
32,krã¼gen,4.19722457733622
33,hay,4.19722457733622
34,kugel,4.19722457733622
35,kugeln,4.19722457733622
36,dwjw,4.19722457733622
37,fleischstã¼ck,4.19722457733622
38,chenemesu,4.19722457733622
39,ds,4.19722457733622
40,nemti,3.386294361119891
41,darbringen,3.386294361119891
42,sitte,3.386294361119891
43,habgierig,3.386294361119891
44,senklotschnur,3.386294361119891
45,beschwor,3.386294361119891
46,beet,3.386294361119891
47,weicht,3.386294361119891
48,neigt,3.386294361119891
49,parteiisch,3.386294361119891
50,neigen,3.386294361119891
51,verwirklicht,3.386294361119891
52,verwirklichen,3.386294361119891
53,windstoãÿ,3.386294361119891
54,stã¼tzbalken,3.386294361119891
55,langwierig,3.386294361119891
56,landmannes,3.386294361119891
57,steuerruderleine,3.386294361119891
58,korrupt,3.386294361119891
59,kurs,3.386294361119891
60,schwankungenabweichungen,3.386294361119891
61,stehlen,3.386294361119891
62,kuchen,3.386294361119891
63,krummen,3.386294361119891
64,flutwelle,3.386294361119891
65,schweigens,3.386294361119891
66,siebten,3.386294361119891
67,nntest,3.386294361119891
68,berauben,3.386294361119891
69,tirade,3.386294361119891
70,wasserflut,3.386294361119891
71,st,2.8109302162163288
72,sprich,2.8109302162163288
73,rst,2.8109302162163288
74,vollkommene,2.8109302162163288
75,herauskommen,2.8109302162163288
76,warum,2.8109302162163288
77,aufgabe,2.8109302162163288
78,begehen,2.8109302162163288
79,ihnes,2.8109302162163288
80,vertreiben,2.8109302162163288
81,tritt,2.8109302162163288
82,gibst,2.8109302162163288
83,reichen,2.8109302162163288
84,lebenshaus,2.8109302162163288
85,beute,2.8109302162163288
86,herbeigefã¼hrt,2.8109302162163288
87,ãœbel,2.8109302162163288
88,tiefe,2.8109302162163288
89,stirbt,2.8109302162163288
90,standwaage,2.8109302162163288
91,bringe,2.8109302162163288
92,begeht,2.8109302162163288
93,berã¼hren,2.8109302162163288
94,krug,2.8109302162163288
95,indemund,2.8109302162163288
96,glichen,2.8109302162163288
97,ssern,2.8109302162163288
98,hofstaat,2.8109302162163288
99,nkt,2.8109302162163288
100,herischef,2.8109302162163288
101,ellen,2.8109302162163288
102,gesamte,2.8109302162163288
103,ãÿter,2.8109302162163288
104,rgert,2.09861228866811
105,hrliches,2.09861228866811
106,beugen,2.09861228866811
107,gekaut,2.09861228866811
108,erinnere,2.09861228866811
109,begrenzung,2.09861228866811
110,herstellen,2.09861228866811
111,einigen,2.09861228866811
112,wortengib,2.09861228866811
113,hinabtauchen,2.09861228866811
114,erinnern,2.09861228866811
115,chterhirte,2.09861228866811
116,chterhirten,2.09861228866811
117,kartuscheneferkarekartusche,2.09861228866811
118,musizieren,2.09861228866811
119,bezirksvorstehers,2.09861228866811
120,seesherauskommen,2.09861228866811
121,ubainerda,2.09861228866811
122,dochdaraufhin,2.09861228866811
123,wortenbringe,2.09861228866811
124,fortgefã,2.09861228866811
125,kartuschedjoserkartusche,2.09861228866811
126,herwerfen,2.09861228866811
127,geschwommen,2.09861228866811
128,kartuschecheopskartusche,2.09861228866811
129,hinterauf,2.09861228866811
130,kulthandlungen,2.09861228866811
131,paar,2.09861228866811
132,chenemsu,2.09861228866811
133,taui,2.09861228866811
134,ahnherrn,2.09861228866811
135,hei,2.09861228866811
136,elektrum,2.09861228866811
137,hinweg,2.09861228866811
138,verknotet,2.09861228866811
139,ihnsich,2.09861228866811
140,ehebruch,2.09861228866811
141,gerechtfertigtgewiss,2.09861228866811
142,tanzen,2.09861228866811
143,vorlesepriesters,2.09861228866811
144,stehlenden,1.6931471805599454
145,krokodildã,1.6931471805599454
146,erteile,1.6931471805599454
147,schrecklichkeit,1.6931471805599454
148,notlage,1.6931471805599454
149,schnur,1.6931471805599454
150,blinderblindet,1.6931471805599454
151,klientel,1.6931471805599454
152,auflã,1.6931471805599454
153,herrnbesitzer,1.6931471805599454
154,aufrechte,1.6931471805599454
155,ufst,1.6931471805599454
156,meãÿschnur,1.6931471805599454
157,offenbarung,1.6931471805599454
158,meãÿgewichtlot,1.6931471805599454
159,krokodilgottes,1.6931471805599454
160,strebe,1.6931471805599454
161,ehrwã¼rdigkeit,1.6931471805599454
162,schnauft,1.6931471805599454
163,zeitraum,1.6931471805599454
164,hrlich,1.6931471805599454
165,krokodilverseucht,1.6931471805599454
166,aufschreien,1.6931471805599454
167,uferdamm,1.6931471805599454
168,aufgabedienst,1.6931471805599454
169,diert,1.6931471805599454
170,anzuordnen,1.6931471805599454
171,schwankungen,1.6931471805599454
172,armewaagebalken,1.6931471805599454
173,schmecken,1.6931471805599454
174,sterblicher,1.6931471805599454
175,vernichter,1.6931471805599454
176,geschiedenen,1.6931471805599454
177,mitreiãÿen,1.6931471805599454
178,fã¼rchterlichen,1.6931471805599454
179,geschossen,1.6931471805599454
180,verringert,1.6931471805599454
181,rã¼ckens,1.6931471805599454
182,ersein,1.6931471805599454
183,totenstiftung,1.6931471805599454
184,wachsen,1.6931471805599454
185,scht,1.6931471805599454
186,umgefallen,1.6931471805599454
187,stiehl,1.6931471805599454
188,kollege,1.6931471805599454
189,reichster,1.6931471805599454
190,atemnot,1.6931471805599454
191,belohnungentschã,1.6931471805599454
192,gatte,1.6931471805599454
193,umsturz,1.6931471805599454
194,verschlieãÿt,1.6931471805599454
195,gauen,1.6931471805599454
196,verlustlage,1.6931471805599454
197,schwanke,1.6931471805599454
198,personal,1.6931471805599454
199,knappheit,1.6931471805599454
200,verluste,1.6931471805599454
201,schmeckenerfahren,1.6931471805599454
202,rote,1.6931471805599454
203,bittstellers,1.6931471805599454
204,wesensgleich,1.6931471805599454
205,beantworte,1.6931471805599454
206,irrefã¼hrt,1.6931471805599454
207,riechendenfreundlichen,1.6931471805599454
208,riechendefreundliche,1.6931471805599454
209,wennweil,1.6931471805599454
210,netze,1.6931471805599454
211,richterverhã,1.6931471805599454
212,waise,1.6931471805599454
213,beginnt,1.6931471805599454
214,hnelst,1.6931471805599454
215,titulatur,1.6931471805599454
216,nenverwalter,1.6931471805599454
217,gewichtsmaãÿ,1.6931471805599454
218,packte,1.6931471805599454
219,inan,1.6931471805599454
220,ohnmã,1.6931471805599454
221,jener,1.6931471805599454
222,neige,1.6931471805599454
223,getrieben,1.6931471805599454
224,ordnet,1.6931471805599454
225,bittsteller,1.6931471805599454
226,vorankommen,1.6931471805599454
227,beiwegen,1.6931471805599454
228,wegreiãÿen,1.6931471805599454
229,ebenholz,1.6931471805599454
230,befohlen,1.6931471805599454
231,gepriesener,1.6931471805599454
232,trank,1.6931471805599454
233,dã¼rftestkã,1.6931471805599454
234,vorbeigegangen,1.6931471805599454
235,bedã¼rftigen,1.6931471805599454
236,hnliche,1.6931471805599454
237,einschrã,1.6931471805599454
238,bedã¼rfnis,1.6931471805599454
239,genaue,1.6931471805599454
240,bedrã¼ckt,1.6931471805599454
241,weiterhinerneut,1.6931471805599454
242,besitztã¼mer,1.6931471805599454
243,getreidehaufens,1.6931471805599454
244,gemeinheit,1.6931471805599454
245,verwã¼steten,1.6931471805599454
246,verwirrtenhinundherschwankenden,1.6931471805599454
247,scheuen,1.6931471805599454
248,hã¼geltells,1.6931471805599454
249,ausgelã,1.6931471805599454
250,verteilen,1.6931471805599454
251,witwe,1.6931471805599454
252,verstã¼mmelt,1.6931471805599454
253,hilfsbedã¼rftige,1.6931471805599454
254,nachahmen,1.6931471805599454
255,rensi,1.6931471805599454
256,begã¼nstigter,1.6931471805599454
257,aufzustellen,1.6931471805599454
258,wasserwild,1.6931471805599454
259,uber,1.6931471805599454
260,gefahr,1.6931471805599454
261,renden,1.6931471805599454
262,rende,1.6931471805599454
263,mung,1.6931471805599454
264,gesetzen,1.6931471805599454
265,benachteiligt,1.6931471805599454
266,udes,1.6931471805599454
267,schlage,1.6931471805599454
268,gefrã,1.6931471805599454
269,gefã¼hrt,1.6931471805599454
270,schlafende,1.6931471805599454
271,metaphern,1.6931471805599454
272,entwickeln,1.6931471805599454
273,verwandelte,1.6931471805599454
274,einfacher,1.6931471805599454
275,schieãÿenwerfen,1.6931471805599454
276,verwandele,1.6931471805599454
277,erblicken,1.6931471805599454
278,beklagenswert,1.6931471805599454
279,windflaute,1.6931471805599454
280,gehalten,1.6931471805599454
281,eingeschrã,1.6931471805599454
282,verursachen,1.6931471805599454
283,hinabsteigst,1.6931471805599454
284,vertreibe,1.6931471805599454
285,wirkliche,1.6931471805599454
286,ausgewogenheit,1.6931471805599454
287,erfasse,1.6931471805599454
288,verwahrer,1.6931471805599454
289,brã¼te,1.6931471805599454
290,unbekannt,1.6931471805599454
291,gunsten,1.6931471805599454
292,herabgestiegen,1.6931471805599454
293,zurã¼ckschieãÿt,1.6931471805599454
294,untergebenen,1.6931471805599454
295,grã¼ndetversorgt,1.6931471805599454
296,dbn,1.6931471805599454
297,ranke,1.6931471805599454
298,selber,1.6931471805599454
299,grã¼ble,1.6931471805599454
300,unterschlã,1.6931471805599454
301,magisches,1.6931471805599454
302,untersucheprã¼fe,1.6931471805599454
303,gã¼nstigem,1.6931471805599454
304,sengende,1.6931471805599454
305,lebhaft,1.6931471805599454
306,mastbaum,1.6931471805599454
307,anch,1.6931471805599454
308,kã¼nstlerschaft,1.6931471805599454
309,anfã¼gen,1.6931471805599454
310,herausstellt,1.6931471805599454
311,sechsten,1.6931471805599454
312,rdlichen,1.6931471805599454
313,zugreift,1.6931471805599454
314,mehrschneller,1.6931471805599454
315,srw,1.6931471805599454
316,raubt,1.6931471805599454
317,experten,1.6931471805599454
318,anfertige,1.6931471805599454
319,landestelle,1.6931471805599454
320,anerkannt,1.6931471805599454
321,sehende,1.6931471805599454
322,rationszulage,1.6931471805599454
323,langsam,1.6931471805599454
324,rahen,1.6931471805599454
325,allerletzte,1.6931471805599454
326,alleinstehenden,1.6931471805599454
327,ãÿigen,1.6931471805599454
328,ã¼bertroffen,1.6931471805599454
329,snmyt,1.6931471805599454
330,verbergen,1.6931471805599454
331,chtigem,1.6931471805599454
332,pyramide,1.6931471805599454
333,ãÿeren,1.6931471805599454
334,fetten,1.6931471805599454
335,danndaher,1.6931471805599454
336,abgewehrt,1.6931471805599454
337,abgeschnittenen,1.6931471805599454
338,abgerissen,1.6931471805599454
339,prã¼fst,1.6931471805599454
340,abfã¼llen,1.6931471805599454
341,ãœberschwemmungsflut,1.6931471805599454
342,flieht,1.6931471805599454
343,flitzenden,1.6931471805599454
344,verborgenegeheimnis,1.6931471805599454
345,flutstrã,1.6931471805599454
346,lendenschurz,1.6931471805599454
347,dahintreiben,1.6931471805599454
348,seuche,1.6931471805599454
349,chenti,1.6931471805599454
350,ltern,1.6931471805599454
351,feldersumpfgebiete,1.6931471805599454
352,habgier,1.6931471805599454
353,aggressor,1.6931471805599454
354,leichtfertig,1.6931471805599454
355,ã¼berdauern,1.6931471805599454
356,luftspender,1.6931471805599454
357,aktivgewalttã,1.6931471805599454
358,danken,1.6931471805599454
359,sechet,1.6931471805599454
360,lebenserhalter,1.6931471805599454
361,standard,1.6931471805599454
362,essende,1.6931471805599454
363,zerschellen,1.6931471805599454
364,anhang,1.6931471805599454
365,meru,1.6931471805599454
366,ziehe,1.6931471805599454
367,verhã¼llungbedeckung,1.6931471805599454
368,kurz,1.6931471805599454
369,brote,1.6931471805599454
370,anordnet,1.6931471805599454
371,verhã¼llst,1.6931471805599454
372,wiederholte,1.4054651081081644
373,auszug,1.4054651081081644
374,kornmesser,1.4054651081081644
375,zustã,1.4054651081081644
376,chlich,1.4054651081081644
377,palette,1.4054651081081644
378,begangen,1.4054651081081644
379,einzigartiger,1.4054651081081644
380,ndig,1.4054651081081644
381,trauerhaltung,1.4054651081081644
382,einzigartig,1.4054651081081644
383,anrichten,1.4054651081081644
384,begab,1.4054651081081644
385,gerechtfertigten,1.4054651081081644
386,ttigung,1.4054651081081644
387,eintreten,1.4054651081081644
388,wegnimmt,1.4054651081081644
389,dauerhaft,1.4054651081081644
390,doppeltor,1.4054651081081644
391,fasse,1.4054651081081644
392,las,1.4054651081081644
393,begã¼nstigen,1.4054651081081644
394,ausgaben,1.4054651081081644
395,ausgang,1.4054651081081644
396,sehotep,1.4054651081081644
397,begrã,1.4054651081081644
398,bild,1.4054651081081644
399,gleich,1.4054651081081644
400,chte,1.4054651081081644
401,grambeugung,1.4054651081081644
402,bgroãÿenb,1.4054651081081644
403,suchte,1.4054651081081644
404,lautet,1.4054651081081644
405,hinab,1.4054651081081644
406,freilich,1.4054651081081644
407,einschlieãÿlich,1.4054651081081644
408,abzuwehren,1.4054651081081644
409,fangnetz,1.4054651081081644
410,steigt,1.4054651081081644
411,vereint,1.4054651081081644
412,erobert,1.4054651081081644
413,chtig,1.4054651081081644
414,gepriesenen,1.4054651081081644
415,treffen,1.4054651081081644
416,neu,1.4054651081081644
417,vierten,1.4054651081081644
418,feldgã,1.4054651081081644
419,gewandelt,1.4054651081081644
420,gewalttã,1.4054651081081644
421,richtigkeit,1.4054651081081644
422,schalen,1.4054651081081644
423,gewaltig,1.4054651081081644
424,nger,1.4054651081081644
425,treibe,1.4054651081081644
426,sesostris,1.4054651081081644
427,ra,1.4054651081081644
428,vollkommenheit,1.4054651081081644
429,bedarfanteil,1.4054651081081644
430,erstanden,1.4054651081081644
431,ngnis,1.4054651081081644
432,ã¼berall,1.4054651081081644
433,vermehrer,1.4054651081081644
434,sonnenlicht,1.4054651081081644
435,redewendung,1.4054651081081644
436,gesundheit,1.4054651081081644
437,folgen,1.4054651081081644
438,gewichtig,1.4054651081081644
439,jenem,1.4054651081081644
440,jubelnd,1.4054651081081644
441,eben,1.4054651081081644
442,hingegen,1.4054651081081644
443,senden,1.4054651081081644
444,gottesleib,1.4054651081081644
445,solltemã,1.4054651081081644
446,stark,1.4054651081081644
447,traumzustand,1.4054651081081644
448,heimkehr,1.4054651081081644
449,genossen,1.4054651081081644
450,taub,1.4054651081081644
451,adligen,1.4054651081081644
452,verã,1.4054651081081644
453,gewogen,1.4054651081081644
454,heiligtums,1.4054651081081644
455,heiligtum,1.4054651081081644
456,voraus,1.4054651081081644
457,allem,1.4054651081081644
458,tatsã,1.4054651081081644
459,pries,1.4054651081081644
460,sehetep,1.4054651081081644
461,abweicht,1.4054651081081644
462,mã¼ssen,1.4054651081081644
463,erkennst,1.4054651081081644
464,hervorkommt,1.4054651081081644
465,geschaffen,1.4054651081081644
466,aufgestiegen,1.4054651081081644
467,monthu,1.4054651081081644
468,blickte,1.4054651081081644
469,gebot,1.4054651081081644
470,krokodils,1.4054651081081644
471,digung,1.4054651081081644
472,lippen,1.4054651081081644
473,anhã,1.4054651081081644
474,ssert,1.4054651081081644
475,deltasã¼mpfe,1.4054651081081644
476,segel,1.4054651081081644
477,eingegangen,1.4054651081081644
478,prozessionen,1.4054651081081644
479,deltabewohner,1.4054651081081644
480,handelst,1.4054651081081644
481,vortrefflichen,1.4054651081081644
482,erleiden,1.4054651081081644
483,antworten,1.4054651081081644
484,schreibbinse,1.4054651081081644
485,reinigen,1.4054651081081644
486,pest,1.4054651081081644
487,atemluft,1.4054651081081644
488,geschmã¼ckt,1.4054651081081644
489,angetreten,1.4054651081081644
490,bogenvã,1.4054651081081644
491,bnis,1.4054651081081644
492,unglã¼ck,1.4054651081081644
493,eulogie,1.4054651081081644
494,knie,1.4054651081081644
495,siehst,1.4054651081081644
496,oberbefehlshaber,1.4054651081081644
497,angesicht,1.4054651081081644
498,boot,1.4054651081081644
499,torgebã,1.4054651081081644
500,schreien,1.4054651081081644
501,verschmolzen,1.4054651081081644
502,angeredete,1.4054651081081644
503,tigen,1.4054651081081644
504,brechen,1.4054651081081644
505,maãÿ,1.4054651081081644
506,handeln,1.4054651081081644
507,schlimmer,1.4054651081081644
508,reiche,1.4054651081081644
509,reich,1.4054651081081644
510,rtner,1.4054651081081644
511,chtigkeit,1.4054651081081644
512,gefielen,1.4054651081081644
513,tig,1.4054651081081644
514,behã,1.4054651081081644
515,zurã¼ckgeben,1.4054651081081644
516,ruderten,0.0
517,rufe,0.0
518,ptahmeni,0.0
519,rechtes,0.0
520,qa,0.0
521,ritual,0.0
522,rivalen,0.0
523,ptahnefer,0.0
524,redet,0.0
525,pyramids,0.0
526,rechtfertige,0.0
527,ptolemais,0.0
528,rechtens,0.0
529,rechts,0.0
530,ruf,0.0
531,recognised,0.0
532,ritt,0.0
533,quernstones,0.0
534,river,0.0
535,rperwã,0.0
536,quaste,0.0
537,quittung,0.0
538,roten,0.0
539,rechenschaft,0.0
540,rinder,0.0
541,psintaes,0.0
542,rtigkeit,0.0
543,psinyris,0.0
544,ptahhotep,0.0
545,rter,0.0
546,rige,0.0
547,riges,0.0
548,ptahirdis,0.0
549,rten,0.0
550,pyramidenanlage,0.0
551,pyramidenbezirk,0.0
552,rinderfett,0.0
553,rtlich,0.0
554,pyramiden,0.0
555,redete,0.0
556,rufens,0.0
557,rrischer,0.0
558,redens,0.0
559,rindern,0.0
560,rises,0.0
561,rufen,0.0
562,riten,0.0
563,recalled,0.0
564,quartz,0.0
565,rpers,0.0
566,riãÿ,0.0
567,rechnen,0.0
568,purity,0.0
569,rechtmã,0.0
570,purified,0.0
571,qualvoll,0.0
572,rner,0.0
573,rnern,0.0
574,qebeh,0.0
575,qualitã,0.0
576,rts,0.0
577,purifying,0.0
578,rechte,0.0
579,qelbi,0.0
580,road,0.0
581,ruder,0.0
582,pushes,0.0
583,rechti,0.0
584,quality,0.0
585,roasting,0.0
586,put,0.0
587,qj,0.0
588,rolle,0.0
589,room,0.0
590,qore,0.0
591,rooms,0.0
592,qualen,0.0
593,ruck,0.0
594,rn,0.0
595,rudert,0.0
596,qulemu,0.0
597,rechnung,0.0
598,quack,0.0
599,ruderern,0.0
600,rke,0.0
601,quartier,0.0
602,rken,0.0
603,rker,0.0
604,qagabu,0.0
605,punishment,0.0
606,punkt,0.0
607,punt,0.0
608,rkt,0.0
609,pyramid,0.0
610,purged,0.0
611,rtlichem,0.0
612,rlich,0.0
613,ruderer,0.0
614,rperlichen,0.0
615,rtet,0.0
616,rm,0.0
617,rme,0.0
618,royal,0.0
619,quantum,0.0
620,route,0.0
621,recorded,0.0
622,richterkollegium,0.0
623,quã,0.0
624,rens,0.0
625,renmanipulieren,0.0
626,renfried,0.0
627,renenutet,0.0
628,renenut,0.0
629,renenet,0.0
630,ratschlag,0.0
631,ratschluãÿ,0.0
632,ratschlã,0.0
633,ratshalle,0.0
634,rebel,0.0
635,ratsversammlung,0.0
636,removed,0.0
637,raub,0.0
638,rauben,0.0
639,removal,0.0
640,remember,0.0
641,remedy,0.0
642,rennt,0.0
643,rationsausgabe,0.0
644,riegel,0.0
645,regungslos,0.0
646,residenzstadt,0.0
647,rerliebender,0.0
648,raste,0.0
649,rerdã,0.0
650,rastete,0.0
651,rer,0.0
652,rebellen,0.0
653,register,0.0
654,registriert,0.0
655,registrierten,0.0
656,rastplatz,0.0
657,repelled,0.0
658,registrierunggebã¼hr,0.0
659,reparation,0.0
660,rat,0.0
661,ration,0.0
662,regulations,0.0
663,remedies,0.0
664,remaacheru,0.0
665,related,0.0
666,reichlich,0.0
667,rufst,0.0
668,reinheit,0.0
669,reines,0.0
670,rderischen,0.0
671,rdert,0.0
672,rdlich,0.0
673,reiner,0.0
674,rein,0.0
675,reihung,0.0
676,reihen,0.0
677,reichtã¼mern,0.0
678,reichtã¼mer,0.0
679,reichtum,0.0
680,reach,0.0
681,reichte,0.0
682,reicht,0.0
683,reichlichen,0.0
684,rder,0.0
685,reinigte,0.0
686,reinigten,0.0
687,reichliche,0.0
688,relate,0.0
689,rekrutierungen,0.0
690,rekartusche,0.0
691,reiãÿt,0.0
692,reiãÿe,0.0
693,raubte,0.0
694,reagieren,0.0
695,reiste,0.0
696,raumes,0.0
697,raubvogels,0.0
698,reist,0.0
699,rauch,0.0
700,reisen,0.0
701,reise,0.0
702,reinigung,0.0
703,raum,0.0
704,resin,0.0
705,respektieren,0.0
706,rasierte,0.0
707,rgerung,0.0
708,richtern,0.0
709,raffgier,0.0
710,rebschoãÿ,0.0
711,rage,0.0
712,rebellion,0.0
713,reached,0.0
714,richter,0.0
715,richtens,0.0
716,richte,0.0
717,richt,0.0
718,rahmenhandlung,0.0
719,riches,0.0
720,raising,0.0
