,term,score
0,amun,40.10871102610592
1,amunrasonther,21.786549963416462
2,machtserscheinung,13.071929978049878
3,gegründet,13.071929978049878
4,auge,11.884062526253606
5,libanon,11.487208707606365
6,smendes,11.487208707606365
7,götterbarke,11.487208707606365
8,gesundheit,10.398554710471906
9,abscheu,10.398554710471906
10,persönlichen,8.865949441167409
11,tamounis,8.615406530704774
12,weges,8.615406530704774
13,schrecken,7.427539078908504
14,betrifft,7.427539078908504
15,auftrag,7.427539078908504
16,lass,7.092759552933927
17,nützlicher,7.092759552933927
18,fürwahr,6.535964989024939
19,reichtümer,6.535964989024939
20,bewahrt,6.535964989024939
21,hätten,6.535964989024939
22,meßgefäß,6.535964989024939
23,empfinden,6.535964989024939
24,strafenden,6.535964989024939
25,scheffel,6.535964989024939
26,leer,6.535964989024939
27,jeden,5.942031263126803
28,retten,5.942031263126803
29,morgige,5.942031263126803
30,verlud,5.743604353803183
31,hervorgegangen,5.743604353803183
32,herihor,5.743604353803183
33,bauholzes,5.743604353803183
34,erlass,5.743604353803183
35,verladen,5.743604353803183
36,erlasse,5.743604353803183
37,wenamun,5.743604353803183
38,wüstenrand,5.743604353803183
39,finger,5.319569664700445
40,vielen,5.319569664700445
41,edle,5.319569664700445
42,geschrei,5.319569664700445
43,renenet,5.319569664700445
44,verbringst,5.319569664700445
45,heran,5.319569664700445
46,reichtum,5.319569664700445
47,meineid,5.319569664700445
48,eigentum,5.319569664700445
49,mittels,5.319569664700445
50,verletzt,5.319569664700445
51,meer,4.85711762521867
52,schai,4.456523447345102
53,gerechten,4.456523447345102
54,halten,4.456523447345102
55,zeugen,4.456523447345102
56,vorzüglich,4.456523447345102
57,außerdem,4.456523447345102
58,eid,4.456523447345102
59,nahrung,4.456523447345102
60,derjenige,4.456523447345102
61,vorgesetzten,4.456523447345102
62,namen,4.456523447345102
63,mögen,4.456523447345102
64,kennst,4.456523447345102
65,opferkuchen,4.357309992683293
66,kite,4.357309992683293
67,user,4.357309992683293
68,lehm,4.357309992683293
69,verfälsche,4.357309992683293
70,verfälschen,4.357309992683293
71,mk,4.357309992683293
72,baut,4.357309992683293
73,weggeräumtentfernt,4.357309992683293
74,gerede,4.357309992683293
75,debeh,4.357309992683293
76,triebe,4.357309992683293
77,beiseite,4.357309992683293
78,buchrolle,4.357309992683293
79,träger,4.357309992683293
80,wohlbefinden,4.357309992683293
81,ausschau,4.357309992683293
82,wohlergehen,4.357309992683293
83,unterwerfen,4.357309992683293
84,vorzüglichkeit,4.357309992683293
85,amwegen,4.357309992683293
86,hasst,4.357309992683293
87,stoff,4.357309992683293
88,schämen,4.357309992683293
89,exekutionsblock,4.357309992683293
90,ibisgottes,4.357309992683293
91,erblickt,4.357309992683293
92,bemühe,4.357309992683293
93,beleidigtverflucht,4.357309992683293
94,fluss,4.357309992683293
95,verweilen,4.357309992683293
96,teileuntergliederungen,4.357309992683293
97,gewichte,4.357309992683293
98,bedrängnis,4.357309992683293
99,mitnimmt,4.357309992683293
100,schnabel,3.5463797764669636
101,erhört,3.5463797764669636
102,gebet,3.5463797764669636
103,dorthin,3.5463797764669636
104,rein,3.5463797764669636
105,gesang,3.5463797764669636
106,erziehungslehre,3.5463797764669636
107,tust,3.5463797764669636
108,geschunden,3.5463797764669636
109,begradigt,3.5463797764669636
110,bote,3.5463797764669636
111,überlaß,3.5463797764669636
112,fünf,3.5463797764669636
113,geistdämon,3.5463797764669636
114,mitzunehmen,3.5463797764669636
115,baum,3.5463797764669636
116,gefällt,3.5463797764669636
117,stele,3.5463797764669636
118,schicke,3.5463797764669636
119,pavian,3.5463797764669636
120,gestohlen,3.5463797764669636
121,schiffes,3.5463797764669636
122,wasserspende,3.5463797764669636
123,schrein,3.5463797764669636
124,speisen,3.5463797764669636
125,nefertari,3.5463797764669636
126,einziger,3.5463797764669636
127,totental,3.5463797764669636
128,kapitalverbrechen,3.5463797764669636
129,reisen,3.5463797764669636
130,vorgehensweise,3.5463797764669636
131,vergrößern,3.5463797764669636
132,any,3.5463797764669636
133,hitzkopf,3.5463797764669636
134,nil,3.5463797764669636
135,gelangen,3.5463797764669636
136,ahmes,3.5463797764669636
137,ähnlich,3.5463797764669636
138,vorgelesen,3.5463797764669636
139,häusern,3.5463797764669636
140,freunde,3.5463797764669636
141,anwesenheit,3.238078416812447
142,flut,3.238078416812447
143,vornehmen,3.238078416812447
144,später,3.238078416812447
145,ließen,3.238078416812447
146,herauf,3.238078416812447
147,gefangen,3.238078416812447
148,erhören,2.9710156315634015
149,göttlichen,2.9710156315634015
150,gunst,2.9710156315634015
151,bescheidenen,2.9710156315634015
152,erhebt,2.9710156315634015
153,aufruhr,2.9710156315634015
154,thron,2.9710156315634015
155,armen,2.9710156315634015
156,melden,2.9710156315634015
157,einzelnen,2.9710156315634015
158,schlafen,2.9710156315634015
159,trat,2.9710156315634015
160,kummer,2.9710156315634015
161,erwirbt,2.9710156315634015
162,zulassen,2.9710156315634015
163,legt,2.9710156315634015
164,geöffnet,2.9710156315634015
165,leibes,2.9710156315634015
166,gewichtig,2.9710156315634015
167,schicksal,2.9710156315634015
168,orakel,2.9710156315634015
169,rolle,2.9710156315634015
170,junger,2.9710156315634015
171,fürst,2.9710156315634015
172,alt,2.9710156315634015
173,holz,2.9710156315634015
174,sonnenscheibe,2.9710156315634015
175,bedarf,2.9710156315634015
176,heutige,2.9710156315634015
177,verfaßt,2.9710156315634015
178,ägyptens,2.9710156315634015
179,herbeigeführt,2.9710156315634015
180,feind,2.9710156315634015
181,zürnen,2.9710156315634015
182,deren,2.9710156315634015
183,stellt,2.9710156315634015
184,knochen,2.9710156315634015
185,handeln,2.9710156315634015
186,schoß,2.9710156315634015
187,donnert,2.8718021769015913
188,endlich,2.8718021769015913
189,bezirks,2.8718021769015913
190,wettergott,2.8718021769015913
191,verstecken,2.8718021769015913
192,sakralen,2.8718021769015913
193,versorgte,2.8718021769015913
194,versetzte,2.8718021769015913
195,gleichwie,2.8718021769015913
196,mitteilen,2.8718021769015913
197,begehre,2.8718021769015913
198,tjekerbaal,2.8718021769015913
199,bearbeiteten,2.8718021769015913
200,tmrgn,2.8718021769015913
201,bugzier,2.8718021769015913
202,verschlägt,2.8718021769015913
203,inneres,2.8718021769015913
204,todgeweihten,2.8718021769015913
205,voneintreten,2.8718021769015913
206,nimmerland,2.8718021769015913
207,hohepriesters,2.8718021769015913
208,ekstatikern,2.8718021769015913
209,weret,2.8718021769015913
210,vielmehr,2.8718021769015913
211,jähriges,2.8718021769015913
212,warte,2.8718021769015913
213,wennsobald,2.8718021769015913
214,hs,2.8718021769015913
215,penamun,2.8718021769015913
216,wandelte,2.8718021769015913
217,gestrigen,2.8718021769015913
218,opferbrot,2.8718021769015913
219,brachtest,2.8718021769015913
220,besatzungen,2.8718021769015913
221,blitzen,2.8718021769015913
222,anstelle,2.8718021769015913
223,horizontischen,2.8718021769015913
224,gewartet,2.8718021769015913
225,holzteilen,2.8718021769015913
226,dumme,2.8718021769015913
227,hafenmeister,2.8718021769015913
228,bauholz,2.8718021769015913
229,ekstatiker,2.8718021769015913
230,heckzier,2.8718021769015913
231,ausspreche,2.8718021769015913
232,heranzieht,2.8718021769015913
233,betrieben,2.8718021769015913
234,grundpfeilern,2.8718021769015913
235,näher,2.8718021769015913
236,vorvätern,2.8718021769015913
237,herantrat,2.8718021769015913
238,veranlassten,2.8718021769015913
239,mumifizierung,2.8718021769015913
240,aussenden,2.8718021769015913
241,göttliches,2.8718021769015913
242,bilden,2.8718021769015913
243,aufrichtiger,2.8718021769015913
244,rette,2.8718021769015913
245,jedenfalls,2.8718021769015913
246,ausgeführte,2.8718021769015913
247,ausgeführten,2.8718021769015913
248,rasende,2.8718021769015913
249,auslagen,2.8718021769015913
250,dargebracht,2.8718021769015913
251,vorlesen,2.8718021769015913
252,vermag,2.8718021769015913
253,verfolgt,2.8718021769015913
254,könige,2.8718021769015913
255,icherrichtete,2.8718021769015913
256,behandeln,2.8718021769015913
257,barken,2.8718021769015913
258,einziartigen,2.8718021769015913
259,dunkelheit,2.8718021769015913
260,hervorkommen,2.8718021769015913
261,balsamierungszelt,2.8718021769015913
262,einstweilen,2.8718021769015913
263,besessen,2.8718021769015913
264,kunstfertigkeit,2.8718021769015913
265,ufergebiet,2.8718021769015913
266,hereinbricht,2.8718021769015913
267,begleiter,2.8718021769015913
268,aufbewahrungsort,2.8718021769015913
269,wegschicken,2.8718021769015913
270,infolge,2.8718021769015913
271,kielbalken,2.8718021769015913
272,einzelteile,2.8718021769015913
273,wasserspenden,2.8718021769015913
274,lernen,2.8718021769015913
275,schrecklich,2.8718021769015913
276,stämme,2.8718021769015913
277,amtlichen,2.8718021769015913
278,amtliche,2.8718021769015913
279,angepflockt,2.8718021769015913
280,meinigen,2.8718021769015913
281,zuzugesellen,2.8718021769015913
282,segensreich,2.8718021769015913
283,gebrechen,2.8718021769015913
284,feilschen,2.8718021769015913
285,menschlichen,2.8718021769015913
286,allerorts,2.8718021769015913
287,erreiche,2.8718021769015913
288,meinige,2.8718021769015913
289,folglich,2.8718021769015913
290,sowohl,2.8718021769015913
291,zweck,2.8718021769015913
292,abreisens,2.8718021769015913
293,geblickt,2.8718021769015913
294,menschenleeren,2.8718021769015913
295,alasia,2.8718021769015913
296,ewiges,2.8718021769015913
297,lotoswedels,2.8718021769015913
298,sinne,2.8718021769015913
299,stehst,2.8718021769015913
300,störungen,2.8718021769015913
301,gespeist,2.8718021769015913
302,zugesellen,2.8718021769015913
303,erlauben,2.8718021769015913
304,ersetzen,2.8718021769015913
305,acker,2.8718021769015913
306,magistrat,2.8718021769015913
307,erledigst,2.8718021769015913
308,abreise,2.8718021769015913
309,lebensjahre,2.8718021769015913
310,staubdreck,2.8718021769015913
311,mekmer,2.8718021769015913
312,hasse,2.1786549963416464
313,flügel,2.1786549963416464
314,solle,2.1786549963416464
315,unersättlichgierig,2.1786549963416464
316,dorfes,2.1786549963416464
317,ausgesandt,2.1786549963416464
318,häufig,2.1786549963416464
319,just,2.1786549963416464
320,raserei,2.1786549963416464
321,diskussionsgegner,2.1786549963416464
322,ausgeschöpft,2.1786549963416464
323,raste,2.1786549963416464
324,dieb,2.1786549963416464
325,ungeeichtes,2.1786549963416464
326,hatj,2.1786549963416464
327,falsch,2.1786549963416464
328,untersuchungshof,2.1786549963416464
329,falschen,2.1786549963416464
330,altehrwürdigexistiert,2.1786549963416464
331,solcher,2.1786549963416464
332,jungtier,2.1786549963416464
333,wolfsschakale,2.1786549963416464
334,raub,2.1786549963416464
335,ausschreiten,2.1786549963416464
336,begegnens,2.1786549963416464
337,aufsehern,2.1786549963416464
338,udjat,2.1786549963416464
339,packt,2.1786549963416464
340,durchziehen,2.1786549963416464
341,stockschlägen,2.1786549963416464
342,aufsichtskraft,2.1786549963416464
343,eventuell,2.1786549963416464
344,hintergehebenachteilige,2.1786549963416464
345,töpfer,2.1786549963416464
346,schnappen,2.1786549963416464
347,schmeicheleien,2.1786549963416464
348,begraben,2.1786549963416464
349,abhängigen,2.1786549963416464
350,betreten,2.1786549963416464
351,gänse,2.1786549963416464
352,strahlen,2.1786549963416464
353,essich,2.1786549963416464
354,hafen,2.1786549963416464
355,ablehnen,2.1786549963416464
356,wellenkamm,2.1786549963416464
357,umgibt,2.1786549963416464
358,passagier,2.1786549963416464
359,dreschplatzes,2.1786549963416464
360,drinnen,2.1786549963416464
361,unversehrten,2.1786549963416464
362,vollkommen,2.1786549963416464
363,übernachten,2.1786549963416464
364,ibis,2.1786549963416464
365,reicht,2.1786549963416464
366,durcheinander,2.1786549963416464
367,auges,2.1786549963416464
368,zuzuwenden,2.1786549963416464
369,aufzutreten,2.1786549963416464
370,pamiu,2.1786549963416464
371,ignorieren,2.1786549963416464
372,umfaßt,2.1786549963416464
373,reiner,2.1786549963416464
374,steuere,2.1786549963416464
375,huldigt,2.1786549963416464
376,knetet,2.1786549963416464
377,feststellung,2.1786549963416464
378,kehren,2.1786549963416464
379,verhältnisseart,2.1786549963416464
380,preist,2.1786549963416464
381,schwindeltgeschwindelt,2.1786549963416464
382,versuchen,2.1786549963416464
383,schwindelt,2.1786549963416464
384,festige,2.1786549963416464
385,vergreifen,2.1786549963416464
386,vergnügen,2.1786549963416464
387,hofleuten,2.1786549963416464
388,abzulenken,2.1786549963416464
389,herrlichen,2.1786549963416464
390,lichtdurchfluteten,2.1786549963416464
