,term,score
0,pharao,415.94218841887624
1,setne,309.3690094805138
2,amun,176.7754300780224
3,bzw,138.3088112822116
4,isis,130.71929978049877
5,pami,130.71586464605164
6,naneferkaptah,115.46871480610726
7,osiris,111.46415236656387
8,priester,111.41308618362756
9,ostens,110.98516809570422
10,inaros,106.75409482074068
11,anchhor,103.58615688932395
12,siosire,96.18714568294367
13,imen,93.72080861415023
14,niut,93.72080861415023
15,ur,93.72080861415023
16,pekrur,88.78813447656339
17,folgendermaßen,88.65949441167409
18,heer,84.19003883712362
19,pl,81.56673485874016
20,barke,72.70078541757275
21,bord,70.92759552933927
22,buch,70.92759552933927
23,di,70.3984120209877
24,panzer,69.05743792621595
25,peteese,65.60802586463882
26,schicksal,62.39132826283143
27,unverzüglich,61.0023398975661
28,junge,58.5152663117049
29,hinauf,54.968886535237935
30,truhe,54.46637490854116
31,hirten,48.5711762521867
32,koptos,47.87612698230401
33,zufall,44.39406723828169
34,gaue,44.39406723828169
35,erschuf,44.39406723828169
36,propheten,44.329747205837045
37,rezitierte,43.573099926832924
38,kampf,43.573099926832924
39,mendes,43.0212517906036
40,bes,41.927730169488264
41,zürnt,41.927730169488264
42,jungen,40.10871102610592
43,petechons,39.461393100694835
44,qore,39.461393100694835
45,halle,39.11022890054873
46,chons,39.11022890054873
47,prophet,39.0101775411366
48,weisen,37.23790179334314
49,erzählte,37.23698765290312
50,befohlen,37.23698765290312
51,königssohn,37.154717455521286
52,memphis,37.13769539454252
53,tabubu,37.03713493780799
54,nämlichen,37.03713493780799
55,pferd,36.995056031901406
56,brüder,36.995056031901406
57,demot,36.995056031901406
58,ehe,35.61886258493692
59,sprachen,35.463797764669636
60,bachtan,35.19920601049385
61,streit,34.85847994146634
62,sachmenofre,34.52871896310798
63,gottlosen,34.52871896310798
64,nubierland,34.52871896310798
65,thot,34.166679762979115
66,außer,32.68117194719742
67,hierher,32.67982494512469
68,per,32.38078416812447
69,verderben,32.062381894314555
70,nubier,32.062381894314555
71,jüngere,32.062381894314555
72,segen,32.062381894314555
73,erblickte,31.195664131415715
74,veranlaßte,31.195664131415715
75,fürst,31.195664131415715
76,general,31.195664131415715
77,kämpfen,30.761744959718246
78,trankopfer,30.50116994878305
79,familie,30.50116994878305
80,oberhalb,30.50116994878305
81,pfründe,29.596044825521126
82,letopolis,29.596044825521126
83,sopdu,29.596044825521126
84,hor,29.332671675411543
85,zauber,29.332671675411543
86,ausrüstung,28.322514952441402
87,göttin,28.224648499852314
88,unglück,27.5236665429058
89,tanis,27.377160230384106
90,schwalbe,27.129707756727697
91,petubastis,27.129707756727697
92,mancher,27.129707756727697
93,urdiimenniut,27.129707756727697
94,gemächern,27.129707756727697
95,krankheit,27.129707756727697
96,briefschreiber,26.597848323502227
97,geschichte,26.143859956099757
98,nämliche,26.143859956099757
99,ahure,26.143859956099757
100,byssos,26.143859956099757
101,stier,25.904627334499576
102,sohnes,25.904627334499576
103,fürsorger,25.42164878535667
104,toren,25.42164878535667
105,charakter,25.42164878535667
106,städte,25.42164878535667
107,mitten,25.42164878535667
108,machten,25.42164878535667
109,darüber,25.253632868288914
110,stieg,25.253632868288914
111,namen,25.253632868288914
112,brachten,24.824658435268745
113,priestern,24.824658435268745
114,missetaten,24.663370687934272
115,gottlose,24.663370687934272
116,vorbereitung,24.663370687934272
117,djedher,24.663370687934272
118,gemächer,24.663370687934272
119,zahlreicher,24.663370687934272
120,tasis,24.663370687934272
121,sende,24.663370687934272
122,meer,24.28558812609335
123,eilte,23.96520495975811
124,lebensodem,23.96520495975811
125,kamen,23.768125052507212
126,geschrieben,23.768125052507212
127,sagten,23.768125052507212
128,lesen,23.466137340329233
129,befahl,23.466137340329233
130,schrei,23.051468547035263
131,verhängt,22.66654891768713
132,frauen,22.28261723672551
133,befand,22.28261723672551
134,nächsten,22.28261723672551
135,begab,22.28261723672551
136,gau,22.28261723672551
137,heraus,22.28261723672551
138,katze,22.197033619140846
139,panesche,22.197033619140846
140,geschick,22.197033619140846
141,lamm,22.197033619140846
142,stärker,21.786549963416462
143,pe,21.5106258953018
144,besser,21.5106258953018
145,schande,21.5106258953018
146,rhops,21.5106258953018
147,dämon,21.27827865880178
148,allem,21.047509709280906
149,abydos,21.047509709280906
150,rief,20.797109420943812
151,geist,20.797109420943812
152,mitte,20.797109420943812
153,betrübt,20.797109420943812
154,menge,19.730696550347417
155,fluch,19.730696550347417
156,gottesmann,19.730696550347417
157,krieger,19.730696550347417
158,wollen,19.730696550347417
159,hareus,19.730696550347417
160,zeile,19.730696550347417
161,gazellensee,19.730696550347417
162,naneferkasokar,19.730696550347417
163,konnte,19.607894967074817
164,entgegen,19.607894967074817
165,sic,19.607894967074817
166,meribptah,19.607894967074817
167,wenige,19.555114450274363
168,fragen,19.555114450274363
169,berg,19.555114450274363
170,erhob,19.5050887705683
171,neith,19.5050887705683
172,lesonis,19.5050887705683
173,antlitz,19.5050887705683
174,vornehmen,19.42847050087468
175,vier,19.42847050087468
176,leuten,19.31160160516211
177,fluß,19.31160160516211
178,mögen,19.31160160516211
179,widerfahren,17.82609378938041
180,wäre,17.82609378938041
181,gelangte,17.82609378938041
182,weise,17.82609378938041
183,abscheu,17.82609378938041
184,brandopfer,17.82609378938041
185,eure,17.80943129246846
186,sterben,17.80943129246846
187,brot,17.80943129246846
188,willst,17.731898882334818
189,reichtum,17.731898882334818
190,lauten,17.731898882334818
191,geschichten,17.599603005246927
192,öffnen,17.599603005246927
193,niemanden,17.599603005246927
194,denkt,17.599603005246927
195,buto,17.599603005246927
196,vierzig,17.599603005246927
197,haryothes,17.42923997073317
198,wandte,17.42923997073317
199,schaute,17.26435948155399
200,kalasirier,17.26435948155399
201,hausvorsteher,17.26435948155399
202,zehn,17.26435948155399
203,rüstungen,17.26435948155399
204,heilmittel,17.26435948155399
205,binnen,17.26435948155399
206,sarpot,17.26435948155399
207,teich,17.26435948155399
208,minnemei,17.26435948155399
209,gesetz,17.26435948155399
210,dummkopf,17.26435948155399
211,böses,17.26435948155399
212,priestergenossen,17.26435948155399
213,oben,16.34058597359871
214,fort,16.34058597359871
215,gestalt,16.34058597359871
216,schöne,16.34058597359871
217,befindet,16.34058597359871
218,laßt,16.34058597359871
219,ließen,16.190392084062236
220,hathor,16.190392084062236
221,stirbt,16.190392084062236
222,vergeltung,16.190392084062236
223,verhindern,16.190392084062236
224,füllte,15.958708994101336
225,wachs,15.958708994101336
226,welt,15.958708994101336
227,herunter,15.958708994101336
228,schrein,15.958708994101336
229,lachte,15.958708994101336
230,oberägypten,15.958708994101336
231,amulette,15.958708994101336
232,geheiß,15.64409156021949
233,wen,15.64409156021949
234,geld,15.64409156021949
235,stunden,15.64409156021949
236,hinunter,15.250584974391526
237,irgendjemand,15.250584974391526
238,stiegen,15.250584974391526
239,meile,15.250584974391526
240,diadem,15.250584974391526
241,zauberspruch,15.250584974391526
242,tüchtigen,15.250584974391526
243,flogen,15.250584974391526
244,boot,14.855078157817008
245,anderes,14.855078157817008
246,alt,14.855078157817008
247,sofort,14.855078157817008
248,wein,14.855078157817008
249,wehe,14.798022412760563
250,sebennytos,14.798022412760563
251,festung,14.798022412760563
252,natho,14.798022412760563
253,leid,14.798022412760563
254,wadjit,14.798022412760563
255,lanze,14.798022412760563
256,sollt,14.798022412760563
257,bb,14.798022412760563
258,petetum,14.798022412760563
259,segnet,14.798022412760563
260,sagens,14.798022412760563
261,imau,14.798022412760563
262,thanuphis,14.798022412760563
263,siamun,14.798022412760563
264,schamgefühl,14.798022412760563
265,verbum,14.798022412760563
266,priesterkollegen,14.798022412760563
267,gift,14.798022412760563
268,zurückkehren,14.571352875656011
269,froh,14.185519105867854
270,fragte,14.185519105867854
271,jüngeren,14.185519105867854
272,lege,14.185519105867854
273,schön,14.185519105867854
274,lebendig,14.185519105867854
275,stromab,14.185519105867854
276,krieg,14.185519105867854
277,erwachte,14.185519105867854
278,niemand,14.185519105867854
279,brand,14.185519105867854
280,sechs,13.688580115192053
281,atmen,13.688580115192053
282,besitzer,13.688580115192053
283,schluß,13.688580115192053
284,brüdern,13.688580115192053
285,gaues,13.688580115192053
286,geringen,13.688580115192053
287,zurückbringen,13.688580115192053
288,fleisch,13.688580115192053
289,tragen,13.369570342035306
290,ans,13.369570342035306
291,nahrung,13.369570342035306
292,ersten,13.369570342035306
293,füßen,13.369570342035306
294,einige,13.369570342035306
295,auge,13.369570342035306
296,wiederum,13.369570342035306
297,las,13.369570342035306
298,vorher,13.369570342035306
299,veranlaßt,13.369570342035306
300,feind,13.369570342035306
301,armen,13.369570342035306
302,mond,13.071929978049878
303,weh,13.071929978049878
304,volk,13.071929978049878
305,sprang,13.071929978049878
306,sänfte,13.071929978049878
307,zauberer,13.071929978049878
308,telestikon,13.071929978049878
309,tjanefer,13.071929978049878
310,feierten,13.071929978049878
311,kämpfte,13.071929978049878
312,stark,12.952313667249788
313,füße,12.952313667249788
314,gelegt,12.952313667249788
315,unterwegs,12.952313667249788
316,arbeit,12.952313667249788
317,inschriften,12.412329217634372
318,stärke,12.412329217634372
319,werk,12.412329217634372
320,vieh,12.412329217634372
321,verbringt,12.412329217634372
322,schiffes,12.412329217634372
323,erdboden,12.412329217634372
324,saß,12.412329217634372
325,schamane,12.331685343967136
326,stationskapelle,12.331685343967136
327,pedjure,12.331685343967136
328,schwester,12.331685343967136
329,gelehrten,12.331685343967136
330,frommen,12.331685343967136
331,setzen,12.331685343967136
332,sg,12.331685343967136
333,generäle,12.331685343967136
334,näherte,12.331685343967136
335,djedseschep,12.331685343967136
336,nebet,12.331685343967136
337,reste,12.331685343967136
338,schlug,12.331685343967136
339,eher,12.331685343967136
340,zaubereien,12.331685343967136
341,irrig,12.331685343967136
342,geduld,12.331685343967136
343,jawohl,12.331685343967136
344,menchpre,12.331685343967136
345,rüstung,12.331685343967136
346,vergißt,12.331685343967136
347,treffpunkt,12.331685343967136
348,glück,12.331685343967136
349,anchscheschonki,12.331685343967136
350,zögerte,12.331685343967136
351,mehwesechet,12.331685343967136
352,ablehnung,12.331685343967136
353,harzfresser,12.331685343967136
354,schleudern,12.331685343967136
355,gefesselt,12.331685343967136
356,äg,12.331685343967136
357,schamanen,12.331685343967136
358,daphnai,12.331685343967136
359,psinyris,12.331685343967136
360,ägypter,12.331685343967136
361,deren,11.884062526253606
362,zuteil,11.884062526253606
363,kampfplatz,11.884062526253606
364,ägyptens,11.884062526253606
365,verlassen,11.884062526253606
366,keinem,11.884062526253606
367,fuhr,11.884062526253606
368,eigenen,11.884062526253606
369,entsteht,11.884062526253606
370,schlafen,11.884062526253606
371,kleine,11.884062526253606
372,verloren,11.733068670164617
373,text,11.733068670164617
374,freund,11.733068670164617
375,vollendete,11.733068670164617
376,befehl,11.733068670164617
377,frevel,11.733068670164617
378,festes,11.733068670164617
379,häuser,11.733068670164617
380,libieren,11.733068670164617
381,nachts,11.733068670164617
382,schläft,11.733068670164617
383,schlechten,11.733068670164617
384,später,11.333274458843565
385,werdet,11.333274458843565
386,gesprochen,11.333274458843565
387,elend,11.333274458843565
388,gestorben,11.333274458843565
389,daran,11.333274458843565
390,heiligen,11.333274458843565
391,los,11.333274458843565
392,daraus,10.893274981708231
393,dienerin,10.893274981708231
394,gottesmutter,10.893274981708231
395,jegliche,10.893274981708231
396,bootes,10.893274981708231
397,setnes,10.893274981708231
398,kehrten,10.893274981708231
399,gewürm,10.893274981708231
400,eisen,10.893274981708231
401,vollständig,10.893274981708231
402,seheret,10.893274981708231
403,feierte,10.893274981708231
404,harpokrates,10.893274981708231
405,schauen,10.893274981708231
406,segelten,10.893274981708231
407,gebe,10.893274981708231
408,hatten,10.63913932940089
409,geschenk,10.63913932940089
410,schlimmen,10.63913932940089
411,pa,10.63913932940089
412,verstorbenen,10.63913932940089
413,sinn,10.63913932940089
414,verbringe,10.63913932940089
415,finsternis,10.63913932940089
416,schrieb,10.63913932940089
417,bastet,10.63913932940089
418,kupfer,10.63913932940089
419,kleider,10.398554710471906
420,suchen,10.398554710471906
421,anderer,10.398554710471906
422,standen,10.398554710471906
423,junger,10.398554710471906
424,traurig,10.398554710471906
425,retten,10.398554710471906
426,schlief,10.398554710471906
427,hinaus,10.398554710471906
428,überhaupt,10.398554710471906
429,arabien,9.865348275173709
430,liefen,9.865348275173709
431,feuerofen,9.865348275173709
432,panzers,9.865348275173709
433,amunspropheten,9.865348275173709
434,verfertige,9.865348275173709
435,trifft,9.865348275173709
436,wichtig,9.865348275173709
437,trauerkleider,9.865348275173709
438,merib,9.865348275173709
439,mer,9.865348275173709
440,säule,9.865348275173709
441,hinterlassen,9.865348275173709
442,göttinnen,9.865348275173709
443,en,9.865348275173709
444,rache,9.865348275173709
445,hirt,9.865348275173709
446,anteils,9.865348275173709
447,wünschen,9.865348275173709
448,amuletten,9.865348275173709
449,tieren,9.865348275173709
450,wenchem,9.865348275173709
451,tep,9.865348275173709
452,gürtete,9.865348275173709
453,hormaacheru,9.865348275173709
454,begaben,9.865348275173709
455,geduldig,9.865348275173709
456,verklärten,9.865348275173709
457,apis,9.865348275173709
458,sescher,9.865348275173709
459,neb,9.865348275173709
460,soldatenkunst,9.865348275173709
461,narren,9.865348275173709
462,nubierin,9.865348275173709
463,kriegern,9.865348275173709
464,fuß,9.865348275173709
465,unterhalt,9.865348275173709
466,andererseits,9.865348275173709
467,armbänder,9.865348275173709
468,unternehmungen,9.865348275173709
469,balsamierungsstätte,9.865348275173709
470,gravierung,9.865348275173709
471,kraushaar,9.865348275173709
472,gottesmannes,9.865348275173709
473,silberlinge,9.865348275173709
474,dastanden,9.865348275173709
475,peitschenhieben,9.865348275173709
476,uto,9.865348275173709
477,ufersand,9.865348275173709
478,zerschlagen,9.865348275173709
479,konstellation,9.865348275173709
480,dämonen,9.865348275173709
481,bemächtigten,9.865348275173709
482,dämonin,9.865348275173709
483,tode,9.777557225137182
484,wohltat,9.777557225137182
485,bücher,9.777557225137182
486,heeres,9.777557225137182
487,befehle,9.777557225137182
488,vergingen,9.777557225137182
