,term,score
0,anrüchig,19.730696550347417
1,landmann,15.64409156021949
2,ba,14.571352875656011
3,deinetwegen,13.369570342035306
4,bevor,11.884062526253606
5,insel,11.333274458843565
6,jenseits,9.777557225137182
7,indemweil,9.71423525043734
8,anlegestelle,8.095196042031118
9,handelt,8.095196042031118
10,gestank,8.095196042031118
11,norm,7.822045780109745
12,oberdomänenvorsteher,7.822045780109745
13,normalerweise,7.822045780109745
14,neidisch,7.3990112063802815
15,lit,6.535964989024939
16,steuerruder,6.476156833624894
17,milde,6.476156833624894
18,daraufhin,6.476156833624894
19,ib,5.942031263126803
20,göttin,5.942031263126803
21,handwaage,5.942031263126803
22,vertreiben,5.942031263126803
23,tritt,5.942031263126803
24,machst,5.866534335082308
25,regel,5.866534335082308
26,schief,5.866534335082308
27,zufluchtsstätte,5.866534335082308
28,anführer,5.866534335082308
29,höre,5.866534335082308
30,jenes,5.866534335082308
31,wasserflut,5.866534335082308
32,danken,5.866534335082308
33,jener,5.319569664700445
34,gebeugt,4.932674137586854
35,kündigten,4.932674137586854
36,haare,4.932674137586854
37,unwetter,4.932674137586854
38,qj,4.932674137586854
39,losbrach,4.932674137586854
40,gesundung,4.932674137586854
41,balsam,4.932674137586854
42,matt,4.932674137586854
43,verbrannten,4.932674137586854
44,glätte,4.932674137586854
45,uferansässigen,4.932674137586854
46,fächer,4.932674137586854
47,sumpf,4.932674137586854
48,sonnenbarke,4.932674137586854
49,verteidigen,4.932674137586854
50,ähnliches,4.932674137586854
51,ehrfurchtsvoll,4.932674137586854
52,niederlassen,4.932674137586854
53,aufgeheizt,4.932674137586854
54,hinterbliebener,4.932674137586854
55,geschwistern,4.932674137586854
56,berührt,4.932674137586854
57,stern,4.932674137586854
58,vollkommene,4.85711762521867
59,überall,4.85711762521867
60,sitzen,4.85711762521867
61,myrrhe,4.85711762521867
62,ellen,4.85711762521867
63,salböl,4.85711762521867
64,hofstaat,4.85711762521867
65,berichten,4.85711762521867
66,beschäftigt,4.85711762521867
67,pries,4.85711762521867
68,sprechen,4.456523447345102
69,vorher,4.456523447345102
70,angenehm,4.456523447345102
71,chenti,3.9110228900548725
72,langwierig,3.9110228900548725
73,fürchte,3.9110228900548725
74,kranken,3.9110228900548725
75,versetzt,3.9110228900548725
76,meinetwegen,3.9110228900548725
77,graf,3.9110228900548725
78,korrupt,3.9110228900548725
79,uferdamm,3.9110228900548725
80,vergeht,3.9110228900548725
81,verbrennen,3.9110228900548725
82,verbrecher,3.9110228900548725
83,landmannes,3.9110228900548725
84,flutwelle,3.9110228900548725
85,landestelle,3.9110228900548725
86,verwandelt,3.9110228900548725
87,krokodilen,3.9110228900548725
88,seht,3.9110228900548725
89,gottesgeliebte,3.9110228900548725
90,krokodilgottes,3.9110228900548725
91,duft,3.9110228900548725
92,krummen,3.9110228900548725
93,schwankungenabweichungen,3.9110228900548725
94,stadtvorsteher,3.9110228900548725
95,schweigens,3.9110228900548725
96,gottesvater,3.9110228900548725
97,tirade,3.9110228900548725
98,stehlen,3.9110228900548725
99,steuerruderleine,3.9110228900548725
100,stützbalken,3.9110228900548725
101,berauben,3.9110228900548725
102,bewässern,3.9110228900548725
103,beet,3.9110228900548725
104,geschäften,3.9110228900548725
105,windstoß,3.9110228900548725
106,habgierig,3.9110228900548725
107,nemti,3.9110228900548725
108,hals,3.9110228900548725
109,hüter,3.9110228900548725
110,überschwemmungsgott,3.9110228900548725
111,neigt,3.9110228900548725
112,neigen,3.9110228900548725
113,erteilt,3.9110228900548725
114,strebe,3.9110228900548725
