,term,score
0,lhg,110.0946661716232
1,schaft,56.72575258224882
2,einst,48.887786125685906
3,bata,41.927730169488264
4,tanne,41.927730169488264
5,pharao,41.594218841887624
6,götterneunheit,39.461393100694835
7,ba,38.85694100174936
8,namen,35.65218757876082
9,gesamten,29.596044825521126
10,anlanden,27.129707756727697
11,all,26.739140684070613
12,euren,25.42164878535667
13,nahrung,25.253632868288914
14,jeden,25.253632868288914
15,verehrt,24.663370687934272
16,meschenet,24.663370687934272
17,feinde,24.28558812609335
18,anhänger,22.66654891768713
19,meer,22.66654891768713
20,verfaßt,22.28261723672551
21,amun,22.28261723672551
22,krone,22.197033619140846
23,möget,22.197033619140846
24,amunrasonther,21.786549963416462
25,lebensdauer,19.730696550347417
26,ehrwürdigenversorgten,19.730696550347417
27,tauben,19.730696550347417
28,edelfrau,19.730696550347417
29,nützlich,19.730696550347417
30,ratschlag,19.730696550347417
31,festlegen,19.730696550347417
32,überaus,19.31160160516211
33,sprechen,17.82609378938041
34,ka,17.82609378938041
35,atemluft,17.80943129246846
36,amt,17.731898882334818
37,achtet,17.26435948155399
38,nächste,17.26435948155399
39,kronengöttin,17.26435948155399
40,astarte,17.26435948155399
41,renenutet,17.26435948155399
42,gestein,17.26435948155399
43,kräfte,17.26435948155399
44,ihretwillen,17.26435948155399
45,angefertigt,17.26435948155399
46,erfolg,16.34058597359871
47,harachte,16.190392084062236
48,eure,16.190392084062236
49,begann,15.64409156021949
50,spitze,15.64409156021949
51,jüngling,15.64409156021949
52,töte,15.64409156021949
53,gestalt,14.855078157817008
54,bestimmt,14.855078157817008
55,richterkollegium,14.798022412760563
56,pyramidenbezirk,14.798022412760563
57,beruhigt,14.798022412760563
58,eurer,14.798022412760563
59,verordnet,14.798022412760563
60,nasen,14.798022412760563
61,beseitige,14.798022412760563
62,sprüche,14.798022412760563
63,dauert,14.798022412760563
64,lebenden,14.571352875656011
65,ohren,14.185519105867854
66,pause,14.185519105867854
67,jenseits,13.688580115192053
68,innern,13.688580115192053
69,zorn,13.688580115192053
70,löwen,13.688580115192053
71,herum,13.369570342035306
72,handeln,13.369570342035306
73,stier,12.952313667249788
74,kämpfen,12.952313667249788
75,bruders,12.952313667249788
76,länge,12.952313667249788
77,ruht,12.952313667249788
78,einziger,12.412329217634372
79,lass,12.412329217634372
80,erziehungslehre,12.412329217634372
81,wassers,12.331685343967136
82,enthält,12.331685343967136
83,dagegen,12.331685343967136
84,befolgen,12.331685343967136
85,untertänig,12.331685343967136
86,bändigen,12.331685343967136
87,leiber,12.331685343967136
88,uäg,12.331685343967136
89,verbreitet,12.331685343967136
90,methode,12.331685343967136
91,rekartusche,12.331685343967136
92,benutzung,12.331685343967136
93,holte,12.331685343967136
94,beliebtheit,12.331685343967136
95,gleiches,12.331685343967136
96,gefolgsmann,12.331685343967136
97,lebensweges,12.331685343967136
98,seschat,12.331685343967136
99,gerechte,12.331685343967136
100,hinterlistigen,12.331685343967136
101,denkmal,12.331685343967136
102,besitzlose,12.331685343967136
103,nachdemseit,12.331685343967136
104,anhängern,12.331685343967136
105,anweisungen,12.331685343967136
106,vorfahren,12.331685343967136
107,vollkommenem,12.331685343967136
108,vollkommenes,12.331685343967136
109,ausgezeichnet,12.331685343967136
110,sandalen,12.331685343967136
111,erkenntnis,12.331685343967136
112,kennengelernt,12.331685343967136
113,opfergaben,11.884062526253606
114,schicksal,11.884062526253606
115,abscheu,11.884062526253606
116,angebrochen,11.884062526253606
117,derden,11.733068670164617
118,verwandelt,11.733068670164617
119,gehören,11.733068670164617
120,errichtet,11.733068670164617
121,baue,11.733068670164617
122,anubis,11.733068670164617
123,asiaten,11.733068670164617
124,lobe,11.733068670164617
125,generation,11.733068670164617
126,welle,11.733068670164617
127,wacht,11.733068670164617
128,offen,11.733068670164617
129,alte,11.733068670164617
130,sc,11.733068670164617
131,ewig,11.333274458843565
132,männer,11.333274458843565
133,herischef,11.333274458843565
134,verbracht,11.333274458843565
135,teil,11.333274458843565
136,überschwemmung,11.333274458843565
137,abydos,11.333274458843565
138,setzte,11.333274458843565
139,strahlen,10.893274981708231
140,hügel,10.63913932940089
141,oberägypten,10.63913932940089
142,finger,10.63913932940089
143,bastet,10.63913932940089
144,rein,10.63913932940089
145,wasserspende,10.63913932940089
146,statuen,10.63913932940089
147,klugheit,10.63913932940089
148,gefolge,10.63913932940089
149,gleiche,10.63913932940089
150,göttin,10.398554710471906
151,geist,10.398554710471906
152,priester,10.398554710471906
153,seth,10.398554710471906
154,gar,10.398554710471906
155,geringe,10.398554710471906
156,sonnenscheibe,10.398554710471906
157,weißt,10.398554710471906
158,eigenen,10.398554710471906
159,gau,10.398554710471906
160,getötet,10.398554710471906
161,hausgenossen,9.865348275173709
162,erforschen,9.865348275173709
163,fremdland,9.865348275173709
164,widersacher,9.865348275173709
165,erfolglose,9.865348275173709
166,doppelkrone,9.865348275173709
167,überquert,9.865348275173709
168,ausführung,9.865348275173709
169,schädigen,9.865348275173709
170,vers,9.865348275173709
171,erben,9.865348275173709
172,renenut,9.865348275173709
173,wissenden,9.865348275173709
174,sumpfland,9.865348275173709
175,waffe,9.865348275173709
176,gleichen,9.865348275173709
177,meryre,9.865348275173709
178,klug,9.865348275173709
179,rxyt,9.865348275173709
180,ausspricht,9.865348275173709
181,möglichkeit,9.865348275173709
182,beständigkeit,9.865348275173709
183,innersten,9.865348275173709
184,währenden,9.865348275173709
185,kommens,9.865348275173709
186,korbländer,9.865348275173709
187,chonsemhab,9.865348275173709
188,verwandeln,9.865348275173709
189,hintanstehende,9.865348275173709
190,perseabäume,9.865348275173709
191,vertraut,9.865348275173709
192,totenpriester,9.865348275173709
193,ertaubten,9.865348275173709
194,haufen,9.865348275173709
195,betrat,9.865348275173709
196,monument,9.865348275173709
197,gottesworten,9.865348275173709
198,auszeichnet,9.865348275173709
199,rebelliert,9.865348275173709
200,opferspeisen,9.865348275173709
201,führung,9.865348275173709
202,loben,9.865348275173709
203,planes,9.865348275173709
204,amunnacht,9.865348275173709
205,jungmannschaft,9.865348275173709
206,verehre,9.865348275173709
207,fürsorgliche,9.865348275173709
208,empfängt,9.865348275173709
209,stummen,9.865348275173709
210,notleidende,9.865348275173709
211,mißachten,9.865348275173709
212,bereichs,9.865348275173709
213,vergangenheit,9.865348275173709
214,zerhackt,9.865348275173709
215,ägäis,9.865348275173709
216,hori,9.865348275173709
217,schale,9.865348275173709
218,leiter,9.865348275173709
219,reichtümern,9.777557225137182
220,funktionsfähig,9.777557225137182
221,verehren,9.777557225137182
222,bewohner,9.777557225137182
223,zufriedenstellend,9.777557225137182
224,enthüllen,9.777557225137182
225,fremdländer,9.777557225137182
226,duft,9.777557225137182
227,solltest,9.777557225137182
228,besitzer,9.777557225137182
229,miteinander,9.777557225137182
230,außerhalb,9.777557225137182
231,wieviel,9.777557225137182
232,strophenende,9.777557225137182
233,vorüber,9.777557225137182
234,beleidigt,9.777557225137182
235,zerstören,9.777557225137182
236,schlagen,9.71423525043734
237,werdet,9.71423525043734
238,jenem,9.71423525043734
239,arbeit,9.71423525043734
240,wahr,9.71423525043734
241,mögen,8.913046894690204
242,schoß,8.913046894690204
243,gunst,8.913046894690204
244,eigenes,8.913046894690204
245,auge,8.913046894690204
246,anderer,8.913046894690204
247,luft,8.913046894690204
248,schatzhauses,8.913046894690204
249,eid,8.913046894690204
250,bleibt,8.913046894690204
251,ersten,8.913046894690204
252,sagten,8.913046894690204
253,chnum,8.913046894690204
254,unwissenden,8.865949441167409
255,persönlichen,8.865949441167409
256,vielen,8.865949441167409
257,einzige,8.865949441167409
258,dorthin,8.865949441167409
259,renenet,8.865949441167409
260,kupfer,8.865949441167409
261,akzeptiert,8.865949441167409
262,barke,8.865949441167409
263,nützlicher,8.865949441167409
264,weinen,8.865949441167409
265,gesalbt,8.714619985366586
266,freuen,8.714619985366586
267,hohepriester,8.714619985366586
268,jubel,8.095196042031118
269,schützt,8.095196042031118
270,hervor,8.095196042031118
271,milde,8.095196042031118
272,gerechtfertigte,8.095196042031118
273,seid,8.095196042031118
274,handelt,8.095196042031118
275,befinden,8.095196042031118
276,beute,8.095196042031118
277,feldgöttin,8.095196042031118
278,nut,8.095196042031118
279,starke,8.095196042031118
280,stiere,8.095196042031118
281,habenichts,7.822045780109745
282,verhaßte,7.822045780109745
283,ehre,7.822045780109745
284,rote,7.822045780109745
285,öffnen,7.822045780109745
286,lehren,7.822045780109745
287,bestrafung,7.822045780109745
288,hervorragend,7.822045780109745
289,aufsicht,7.822045780109745
290,indemwenn,7.822045780109745
291,begünstigte,7.822045780109745
292,siedlung,7.822045780109745
293,gliedern,7.822045780109745
294,beherrsche,7.822045780109745
295,schlägt,7.822045780109745
296,starken,7.822045780109745
297,erleuchtet,7.822045780109745
298,ratsversammlung,7.822045780109745
299,folgt,7.822045780109745
300,dient,7.822045780109745
301,erbfürst,7.822045780109745
302,seinesgleichen,7.822045780109745
303,umgeben,7.822045780109745
304,krokodilen,7.822045780109745
305,stütze,7.822045780109745
306,hüter,7.822045780109745
307,offenbart,7.822045780109745
308,befehl,7.822045780109745
309,eurem,7.822045780109745
310,willen,7.822045780109745
311,graf,7.822045780109745
312,ausführen,7.822045780109745
313,erzählen,7.822045780109745
314,palastes,7.427539078908504
315,gerechten,7.427539078908504
316,jedes,7.427539078908504
317,general,7.427539078908504
318,geburt,7.427539078908504
319,month,7.427539078908504
320,pre,7.427539078908504
321,schrecken,7.427539078908504
322,feiern,7.427539078908504
323,hell,7.427539078908504
324,empfangen,7.427539078908504
325,gesundheit,7.427539078908504
326,schrift,7.427539078908504
327,lapislazuli,7.427539078908504
328,händen,7.427539078908504
329,ib,7.427539078908504
330,wiederum,7.427539078908504
331,hinaus,7.427539078908504
332,jubele,7.3990112063802815
333,einatmen,7.3990112063802815
334,belehrt,7.3990112063802815
335,aufrichtigkeit,7.3990112063802815
336,reichlichen,7.3990112063802815
337,eingeflößt,7.3990112063802815
338,tal,7.3990112063802815
339,einsamen,7.3990112063802815
340,üblicherweise,7.3990112063802815
341,pförtner,7.3990112063802815
342,winters,7.3990112063802815
343,begünstigt,7.3990112063802815
344,nebut,7.3990112063802815
345,schöpfergott,7.3990112063802815
346,ebenbilder,7.3990112063802815
347,beschützer,7.3990112063802815
348,gefolgsleute,7.3990112063802815
349,deich,7.3990112063802815
350,betrachten,7.3990112063802815
351,verwünscht,7.3990112063802815
352,syropalestinensischen,7.3990112063802815
353,maße,7.3990112063802815
354,besiegt,7.3990112063802815
355,dienern,7.3990112063802815
356,damm,7.3990112063802815
357,fähigen,7.3990112063802815
358,verschränkt,7.3990112063802815
359,leuchten,7.3990112063802815
360,raubte,7.3990112063802815
361,rebellion,7.3990112063802815
362,rechenschaft,7.3990112063802815
363,offenlegen,7.3990112063802815
364,leichen,7.3990112063802815
365,verzehrender,7.3990112063802815
366,fällen,7.3990112063802815
367,mißachtet,7.3990112063802815
368,verbessert,7.3990112063802815
369,ernähren,7.3990112063802815
370,kehle,7.3990112063802815
371,weiße,7.3990112063802815
372,umschließen,7.3990112063802815
373,charaktere,7.3990112063802815
374,kronprinzen,7.3990112063802815
375,kronenspitze,7.3990112063802815
376,erz,7.3990112063802815
377,fischfänger,7.3990112063802815
378,erzeuger,7.3990112063802815
379,erzeugt,7.3990112063802815
380,feuersbrunst,7.3990112063802815
381,übertrifft,7.3990112063802815
382,feuers,7.3990112063802815
383,schützend,7.3990112063802815
384,kostbarem,7.3990112063802815
385,perlen,7.3990112063802815
386,fertiggestellt,7.3990112063802815
387,richtigen,7.3990112063802815
388,ernannte,7.3990112063802815
389,hergestellt,7.3990112063802815
390,wonach,7.3990112063802815
391,fesselt,7.3990112063802815
392,zauberei,7.3990112063802815
393,reißt,7.3990112063802815
394,pflanzlicher,7.3990112063802815
395,var,7.3990112063802815
396,küstenregionen,7.3990112063802815
397,wobeiweil,7.3990112063802815
398,unversehrtem,7.3990112063802815
399,wohingegen,7.3990112063802815
400,hervorgekommen,7.3990112063802815
401,unterstützer,7.3990112063802815
402,ergeben,7.3990112063802815
403,ergebnis,7.3990112063802815
404,zanke,7.3990112063802815
405,wohlversorgt,7.3990112063802815
406,erlangen,7.3990112063802815
407,kartuschemencheperrekartusche,7.3990112063802815
408,schwächlichen,7.3990112063802815
409,klagefrauen,7.3990112063802815
410,geleisteten,7.3990112063802815
411,nepri,7.3990112063802815
412,geheimnisse,7.3990112063802815
413,gesellt,7.3990112063802815
414,ineinander,7.3990112063802815
415,sichtbaren,7.3990112063802815
416,sommers,7.3990112063802815
417,statte,7.3990112063802815
418,hund,7.3990112063802815
419,greifen,7.3990112063802815
420,schweigt,7.3990112063802815
421,spenden,7.3990112063802815
422,haarlocke,7.3990112063802815
423,hinweis,7.3990112063802815
424,prozessionsweg,7.3990112063802815
425,angefangen,7.3990112063802815
426,ankläger,7.3990112063802815
427,glut,7.3990112063802815
428,oberägyptens,7.3990112063802815
429,bäumen,7.3990112063802815
430,status,7.3990112063802815
431,zusammengebaut,7.3990112063802815
432,schulter,7.3990112063802815
433,gewässer,7.3990112063802815
434,vorschrift,7.3990112063802815
435,siegelbewahrer,7.3990112063802815
436,held,7.3990112063802815
437,handelnden,7.3990112063802815
438,hau,7.3990112063802815
439,siegen,7.3990112063802815
440,harpunschaft,7.3990112063802815
441,schwachem,7.3990112063802815
442,handlungsmoment,7.3990112063802815
443,gegenschlag,7.3990112063802815
444,saß,7.092759552933927
445,getreide,7.092759552933927
446,wahrlich,7.092759552933927
447,untertanen,7.092759552933927
448,verletzen,7.092759552933927
449,schriften,7.092759552933927
450,elenden,7.092759552933927
451,kleinvieh,7.092759552933927
452,trug,7.092759552933927
453,überlegenheit,7.092759552933927
454,vogel,7.092759552933927
455,vieh,7.092759552933927
456,gefällt,7.092759552933927
457,geschrei,7.092759552933927
458,lage,7.092759552933927
459,vorhalle,6.535964989024939
460,unversehrten,6.535964989024939
461,solle,6.535964989024939
462,aufrichtig,6.535964989024939
463,preist,6.535964989024939
464,heiligtums,6.476156833624894
465,kapelle,6.476156833624894
466,krug,6.476156833624894
467,statue,6.476156833624894
468,flamme,6.476156833624894
469,jedermann,6.476156833624894
470,schau,6.476156833624894
471,geschaffen,6.476156833624894
472,gewaltig,6.476156833624894
473,ruf,6.476156833624894
474,genannt,6.476156833624894
475,eintreten,6.476156833624894
476,königtum,6.476156833624894
477,gelegt,6.476156833624894
478,einzigen,6.476156833624894
479,monaten,6.476156833624894
480,ellen,6.476156833624894
481,anlegestelle,6.476156833624894
482,herren,6.476156833624894
483,abweicht,6.476156833624894
484,wunsch,5.942031263126803
485,nieder,5.942031263126803
486,schlafen,5.942031263126803
487,gewesen,5.942031263126803
488,ans,5.942031263126803
489,tragen,5.942031263126803
