,term,score
0,pharao,158.94933628864197
1,teudjoi,145.5138870588122
2,merire,130.71586464605164
3,lhg,123.04697983887299
4,peteese,117.0305326234098
5,amun,78.73191423643014
6,priester,78.73191423643014
7,senti,63.180994893907744
8,irturu,59.19208965104225
9,general,49.02175792079613
10,horudja,44.39406723828169
11,chons,43.0212517906036
12,schiffsmeister,39.461393100694835
13,lebendigen,39.461393100694835
14,ahmose,35.19920601049385
15,bachtan,35.19920601049385
16,sematauitefnacht,34.52871896310798
17,peftjauawibastet,32.062381894314555
18,oben,31.195664131415715
19,veranlaßte,29.710156315634016
20,irthorru,29.596044825521126
21,magier,28.37103821173571
22,lebendige,27.129707756727697
23,fürsorger,25.42164878535667
24,südland,25.42164878535667
25,hathor,22.66654891768713
26,herakleopolis,21.5106258953018
27,propheten,21.27827865880178
28,hoher,21.047509709280906
29,götterkönigs,19.730696550347417
30,gelangte,17.82609378938041
31,abscheu,17.82609378938041
32,papyrus,17.731898882334818
33,lesonis,17.731898882334818
34,unterstellt,17.599603005246927
35,inspizierte,17.26435948155399
36,padihapi,17.26435948155399
37,erdmann,17.26435948155399
38,pre,14.855078157817008
39,djedbastetiufanch,14.798022412760563
40,hetep,14.798022412760563
41,anchscheschonk,14.798022412760563
42,schreibe,14.798022412760563
43,nenne,13.688580115192053
44,namen,13.369570342035306
45,fürst,13.369570342035306
46,machtserscheinung,13.071929978049878
47,sterben,12.952313667249788
48,priestern,12.412329217634372
49,neitemhet,12.331685343967136
50,zusammentreffen,12.331685343967136
51,viehhüten,12.331685343967136
52,südlandes,12.331685343967136
53,papyrusblatt,12.331685343967136
54,sagten,11.884062526253606
55,erihn,11.733068670164617
56,schau,11.333274458843565
57,qualitäten,10.893274981708231
58,dämon,10.63913932940089
59,erhob,10.63913932940089
60,fünf,10.63913932940089
61,jahreszeit,10.398554710471906
62,rufen,10.398554710471906
63,auge,10.398554710471906
64,neunheit,10.398554710471906
65,abrechnung,9.865348275173709
66,blumenstrauß,9.865348275173709
67,opferstiftung,9.865348275173709
68,zahlen,9.865348275173709
69,entlassen,9.865348275173709
70,betrag,9.865348275173709
71,wunderbarer,9.865348275173709
72,osiris,9.777557225137182
73,ruiniert,9.777557225137182
74,machten,9.777557225137182
75,neferhotep,9.71423525043734
76,thot,8.913046894690204
77,erneut,8.913046894690204
78,außer,8.913046894690204
79,eigenen,8.913046894690204
80,anderer,8.913046894690204
81,schicksal,8.913046894690204
82,fort,8.913046894690204
83,gegenwart,8.913046894690204
84,persönlichen,8.865949441167409
85,stromab,8.865949441167409
86,akzeptiert,8.865949441167409
87,rein,8.865949441167409
88,prophet,8.865949441167409
89,pavian,8.865949441167409
90,lehm,8.714619985366586
91,harachte,8.095196042031118
92,wahr,8.095196042031118
93,bildest,7.822045780109745
94,harsaphes,7.822045780109745
95,entließ,7.822045780109745
96,anvertraut,7.822045780109745
97,einkünfte,7.822045780109745
98,bauen,7.822045780109745
99,derden,7.822045780109745
100,psammetich,7.822045780109745
101,geld,7.822045780109745
102,solltest,7.822045780109745
103,widerfahren,7.427539078908504
104,jede,7.427539078908504
105,weinte,7.427539078908504
106,sieben,7.427539078908504
107,kamen,7.427539078908504
108,nieder,7.427539078908504
109,thron,7.427539078908504
110,derjenige,7.427539078908504
111,sag,7.427539078908504
112,heraus,7.427539078908504
113,chr,7.3990112063802815
114,pakap,7.3990112063802815
115,oxyrhynchos,7.3990112063802815
116,weiterhin,7.3990112063802815
117,überschreiben,7.3990112063802815
118,verrichten,7.3990112063802815
119,henutnofret,7.3990112063802815
120,abscheutabu,7.3990112063802815
121,senutfest,7.3990112063802815
122,protegieren,7.3990112063802815
123,verwalten,7.3990112063802815
124,alljährlich,7.3990112063802815
125,wachstation,7.3990112063802815
126,tatsache,7.3990112063802815
127,sterbe,7.3990112063802815
128,vorstellen,7.3990112063802815
129,zermürbten,7.3990112063802815
130,antlitz,7.092759552933927
131,speisen,7.092759552933927
132,heutigen,7.092759552933927
133,welt,7.092759552933927
134,nützlicher,7.092759552933927
135,gelangen,7.092759552933927
136,oh,7.092759552933927
137,brand,7.092759552933927
138,schrein,7.092759552933927
139,getreide,7.092759552933927
140,statuen,7.092759552933927
141,reichtümer,6.535964989024939
142,bewahrt,6.535964989024939
143,leer,6.535964989024939
144,strafenden,6.535964989024939
145,scheffel,6.535964989024939
146,meßgefäß,6.535964989024939
147,ausgesandt,6.535964989024939
148,empfinden,6.535964989024939
149,ehe,6.476156833624894
150,peret,6.476156833624894
151,statue,6.476156833624894
152,jeden,5.942031263126803
153,frauen,5.942031263126803
154,briefe,5.942031263126803
155,leuten,5.942031263126803
156,nahrung,5.942031263126803
157,geschrieben,5.942031263126803
158,schoß,5.942031263126803
159,morgige,5.942031263126803
160,wächter,5.942031263126803
161,kennst,5.942031263126803
162,gunst,5.942031263126803
163,schutzzauber,5.866534335082308
164,betrachtung,5.866534335082308
165,festgestellt,5.866534335082308
166,haßt,5.866534335082308
167,nachts,5.866534335082308
168,prozessionsbarke,5.866534335082308
169,mädchen,5.866534335082308
170,peitschenhiebe,5.866534335082308
