,term,score
0,daraufhin,27.5236665429058
1,ubainer,27.129707756727697
2,landmann,15.64409156021949
3,kartuschenebkakartusche,14.798022412760563
4,einfache,9.865348275173709
5,indemweil,9.71423525043734
6,gerechtfertigt,8.913046894690204
7,vorlesepriester,8.095196042031118
8,norm,7.822045780109745
9,normalerweise,7.822045780109745
10,oberdomänenvorsteher,7.822045780109745
11,hausmeister,7.3990112063802815
12,einfachen,7.3990112063802815
13,wachs,7.092759552933927
14,milde,6.476156833624894
15,handelt,6.476156833624894
16,steuerruder,6.476156833624894
17,anlegestelle,6.476156833624894
18,handwaage,5.942031263126803
19,regel,5.866534335082308
20,schief,5.866534335082308
21,zufluchtsstätte,5.866534335082308
22,anführer,5.866534335082308
23,kugeln,4.932674137586854
24,ds,4.932674137586854
25,kugel,4.932674137586854
26,sns,4.932674137586854
27,broten,4.932674137586854
28,krügen,4.932674137586854
29,dwjw,4.932674137586854
30,darbringe,4.932674137586854
31,chenemesu,4.932674137586854
32,fleischstück,4.932674137586854
33,beschäftigt,4.85711762521867
34,oberste,4.85711762521867
35,obersten,4.85711762521867
36,bevor,4.456523447345102
37,hay,4.357309992683293
38,schwankungenabweichungen,3.9110228900548725
39,landmannes,3.9110228900548725
40,tirade,3.9110228900548725
41,beet,3.9110228900548725
42,geschäften,3.9110228900548725
43,langwierig,3.9110228900548725
44,kuchen,3.9110228900548725
45,berauben,3.9110228900548725
46,nemti,3.9110228900548725
47,senklotschnur,3.9110228900548725
48,neigt,3.9110228900548725
49,schweigens,3.9110228900548725
50,neigen,3.9110228900548725
51,stützbalken,3.9110228900548725
52,löst,3.9110228900548725
53,darbringen,3.9110228900548725
54,verwirklicht,3.9110228900548725
55,verwirklichen,3.9110228900548725
56,sitte,3.9110228900548725
57,flutwelle,3.9110228900548725
58,wasserflut,3.9110228900548725
59,bewässern,3.9110228900548725
60,krummen,3.9110228900548725
61,parteiisch,3.9110228900548725
62,habgierig,3.9110228900548725
63,windstoß,3.9110228900548725
